Name,Description,Material,Color,Current Price,Old Price,Discount,Piece,Availability,Category,Gender,Size,Design,Link
2 Piece Embroidered Suit with Satin Silk Dupatta,Digital Printed Silk Dupatta|Velvet Embroidery on shirt front 1.25 Meters|Embroidery on Shirt Back 1.25 Meters|Embroidery on sleeves 0.62 Meters|1 meter border on organza separate ,Velvet,Black,PKR 10000 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Embroidered,https://www.alkaramstudio.com/2-piece-embroidered-suit-with-satin-silk-dupatta-22631
3 Piece Embroidered Suit with Chiffon Dupatta,        Printed Chiffon Dupatta|Printed Cotton Silk Shirt 3.12 Meters|Separate Printed Border 2.5 meters|Embroidery on shirt|Embroidery on sleeves|Dyed Cambric Trouser    ,Cotton Silk,Beige,PKR 8500 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-suit-with-chiffon-dupatta-22642
3 Piece Embroidered Suit with Jacquard Dupatta,Jacquard woven Dupatta|Printed Brochier Shirt 3.12 Meters|Separate Printed Border for Shirt|Neckline on organza separate|1 meter border for sleeve on organza|Embroidery on shirt|Dyed Cambric Trouser ,Jacquard,Purple,PKR 8750 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-suit-with-jacquard-dupatta-22639
3 Piece Embroidered Suit with Jacquard Dupatta,Jacquard Dupatta|Printed Brochier Shirt 3.12 Meters|Separate Printed Border for Shirt|Embroidery on sleeves |Embroidery on shirt|Dyed Cambric Trouser ,Jacquard,Chocolate Brown,PKR 8750 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-suit-with-jacquard-dupatta-22638
3 Piece Embroidered Suit with Jacquard Dupatta,        Jacquard Dupatta|Jacquard Shirt 3.12 Meters|Neckline On Organza Separate|1 meter border on organza|Dyed Cambric Trouser    ,Jacquard,Mustard,PKR 7500 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-suit-with-jacquard-dupatta-22637
2 Piece Embroidered Suit with Jacquard Woven Dupatta,Jacquard Dupatta|Jacquard Shirt 3.12 Meters|Neckline on Organza|Motif Border On Sleeves separate on organza ,Jacquard,Red,PKR 8750 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Embroidered,https://www.alkaramstudio.com/2-piece-embroidered-suit-with-jacquard-woven-dupatta
Printed Woven Shirt,Printed Woven Shirt 3 Meter ,Woven,Beige,PKR 3500 ,-,-,1 Piece,In stock,Unstitched,Women,3,Printed,https://www.alkaramstudio.com/printed-woven-shirt-22621
Printed Woven Shirt,Printed Woven Shirt 3 Meter ,Woven,Black,PKR 3000 ,-,-,1 Piece,In stock,Unstitched,Women,3,Printed,https://www.alkaramstudio.com/printed-woven-shirt
Printed Woven Dupatta,        Printed Woven Dupatta 2.5 Meter    ,Woven,Beige,PKR 2850 ,-,-,1 Piece,In stock,Unstitched,Women,2.5,Printed,https://www.alkaramstudio.com/printed-woven-dupatta
Printed Foil Chiffon Dupatta,Prined Foil Chiffon Dupatta 2.5 Meter ,Chiffon,Grey,PKR 2450 ,-,-,1 Piece,In stock,Unstitched,Women,2.5,Printed,https://www.alkaramstudio.com/printed-foil-chiffon-dupatta-22618
Printed Cambric Shirt Fabric (Sold by Per Meter),Printed Cambric Shirt Fabric|Sold by Rs. 550/- Per Meter ,Cambric,Beige,PKR 550 ,-,-,1 Piece,In stock,Unstitched,Women,1,Printed,https://www.alkaramstudio.com/printed-cambric-shirt-fabric-sold-by-per-meter-22618
Printed Cambric Shirt Fabric (Sold by Per Meter),        Printed Cambric Shirt Fabric|Sold by Rs. 400/- Per Meter    ,Cambric,Khaki,PKR 400 ,-,-,1 Piece,In stock,Unstitched,Women,1,Printed,https://www.alkaramstudio.com/printed-cambric-shirt-fabric-sold-by-per-meter-22617
Printed Cambric Shirt Fabric (Sold by Per Meter),        Printed Cambric Shirt Fabric|Sold by Rs. 550/- Per Meter    ,Cambric,Grey,PKR 550 ,-,-,1 Piece,In stock,Unstitched,Women,1,Printed,https://www.alkaramstudio.com/printed-cambric-shirt-fabric-sold-by-per-meter-22616
Printed Cambric Shirt Fabric (Sold by Per Meter),        Printed Cambric Shirt Fabric|Sold by Rs. 550/- Per Meter    ,Cambric,Cream,PKR 550 ,-,-,1 Piece,In stock,Unstitched,Women,1,Printed,https://www.alkaramstudio.com/printed-cambric-shirt-fabric-sold-by-per-meter
Printed Cotton Satin Silk Shirt Fabric (Sold by Per Meter),Printed Cotton Satin Silk Shirt Fabric|Sold by Rs. 825/- Per Meter ,Cotton Satin,Brown,PKR 825 ,-,-,1 Piece,In stock,Unstitched,Women,1,Printed,https://www.alkaramstudio.com/printed-cotton-satin-silk-shirt-fabric-sold-by-per-meter-22611
Printed Cotton Satin Silk Shirt Fabric (Sold by Per Meter),        Printed Cotton Satin Silk Shirt Fabric|Sold by Rs. 825/- Per Meter    ,Cotton Satin,Peach,PKR 825 ,-,-,1 Piece,In stock,Unstitched,Women,1,Printed,https://www.alkaramstudio.com/printed-cotton-satin-silk-shirt-fabric-sold-by-per-meter
Embroidered Cotton Zarri Shirt Fabric (Sold by Per Meter),        Embroidered Cotton Zarri Shirt Fabric|Sold by Rs. 1,550/- Per Meter    ,Cotton Zarri,Cream,PKR 1550 ,-,-,1 Piece,In stock,Unstitched,Women,1,Embroidered,https://www.alkaramstudio.com/embroidered-cotton-zarri-shirt-fabric-sold-by-per-meter-22609
Embroidered Cotton Zarri Shirt Fabric (Sold by Per Meter),        Embroidered Cotton Zarri Shirt Fabric|Sold by Rs. 1,550/- Per Meter    ,Cotton Zarri,Pink,PKR 1550 ,-,-,1 Piece,In stock,Unstitched,Women,1,Embroidered,https://www.alkaramstudio.com/embroidered-cotton-zarri-shirt-fabric-sold-by-per-meter
Printed Cotton Satin Shirt Fabric (Sold by Per Meter),        Printed Cotton Satin Shirt Fabric|Sold by Rs. 950/- Per Meter    ,Cotton Satin,Grey,PKR 950 ,-,-,1 Piece,In stock,Unstitched,Women,1,Printed,https://www.alkaramstudio.com/printed-cotton-satin-shirt-fabric-sold-by-per-meter-22607
Printed Cotton Satin Shirt Fabric (Sold by Per Meter),Printed Cotton Satin Shirt Fabric|Sold by Rs. 950/- Per Meter ,Cotton Satin,Cream,PKR 950 ,-,-,1 Piece,In stock,Unstitched,Women,1,Printed,https://www.alkaramstudio.com/printed-cotton-satin-shirt-fabric-sold-by-per-meter
3 Piece Printed Khaddar Suit with Khaddar Dupatta,        Printed Khaddar Dupatta| Printed Khaddar Shirt 3.12 Meters| Dyed Khaddar Trouser    ,Khaddar,Orange,PKR 2900 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-khaddar-dupatta-21727
3 Piece Printed Khaddar Suit with Khaddar Dupatta,Printed Khaddar Dupatta| Printed Khaddar Shirt 3 Meters| Dyed Khaddar Trouser ,Khaddar,Sea Green,PKR 2900 ,-,-,3 Piece,In stock,Unstitched,Women,8,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-khaddar-dupatta-21722
1 Piece Embroidered Denim Shirt,        Denim Shirt 1.8 Meters| Embroidered Shirt Front    ,Denim,Blue,PKR 2500 ,-,-,1 Piece,In stock,Unstitched,Women,1.8,Embroidered,https://www.alkaramstudio.com/1-piece-embroidered-denim-shirt-21560
3 Piece Printed Khaddar Suit with Khaddar Dupatta,        Printed Khaddar Dupatta| Printed Khaddar Shirt 3.12 Meters| Dyed Khaddar Trouser    ,Khaddar,Yellow,PKR 2900 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-khaddar-dupatta-21720
