,Name,Description,Old Price,New Price,Discount,Size(s)
0,AW19-KS-004 Bed Sheet Set,"Bed Sheet Set:
T-150 – Easy Care Collection

Easy care
Non- Iron
Wrinkle Resistance
High Strength
Durable
Affordable

Package Includes:
Single:

1 Bed Sheet
1 Pillowcase

Size:

Single: 160x260 cm","PKR 1,700",PKR 850,50,Single
1,Pinkish Red 2 PC Dyed Pillow Covers,Size: 48 x 76 cm,PKR 700,PKR 490,30,48X76
2,Grey 2 PC Dyed Pillow Covers,Size: 48 x 76 cm,PKR 700,PKR 490,30,48X76
3,Light Lilac 2 PC Dyed Pillow Covers,Size: 48 x 76 cm,PKR 700,PKR 490,30,48X76
4,Cream 2 PC Dyed Pillow Covers,Size: 48 x 76 cm,PKR 700,PKR 490,30,48X76
5,White 2 PC Dyed Pillow Covers,Size: 48 x 76 cm,PKR 700,PKR 490,30,48X76
6,WCS19-BDS-012 Complete Bed Set,"COMPLETE BED SET
Sizes:
Single:
1 Bed Sheet - 160 x 260 CM
1 Quilt Cover - 152 X 240 CM
2 Pillow Covers - 48 X 76 CM
 
Double:
1 Bed Sheet - 240 x 260 CM
1 Quilt Cover - 230 X 240 CM
4 Pillow Covers - 48 X 76 CM
 
King:
1 Bed Sheet - 270 x 260 CM
1 Quilt Cover - 265 X 240 CM
4 Pillow Covers - 48 X 76 CM","PKR 5,200","PKR 2,600",50,Double/Single/King
7,AW19-050 Bed Sheet Set,"Bed Sheet Set:
T-150 – Easy Care Collection

Easy care
Non- Iron
Wrinkle Resistance
High Strength
Durable
Affordable

Package Includes:
Single:

1 Bed Sheet
1 Pillowcase

Double & King:

1 Bed Sheet
2 Pillowcases

Size:

Single: 160x260 cm
Double: 240x260 cm
King: 270x260 cm","PKR 1,700",PKR 850,50,Double/Single/King
8,AW19-048 Bed Sheet Set,"Bed Sheet Set:
T-150 – Easy Care Collection

Easy care
Non- Iron
Wrinkle Resistance
High Strength
Durable
Affordable

Package Includes:
Single:

1 Bed Sheet
1 Pillowcase

Double & King:

1 Bed Sheet
2 Pillowcases

Size:

Single: 160x260 cm
Double: 240x260 cm
King: 270x260 cm","PKR 1,700",PKR 850,50,Double/Single/King
9,AW19-042 Bed Sheet Set,"Bed Sheet Set:
T-150 – Easy Care Collection

Easy care
Non- Iron
Wrinkle Resistance
High Strength
Durable
Affordable

Package Includes:
Single:

1 Bed Sheet
1 Pillowcase

Double & King:

1 Bed Sheet
2 Pillowcases

Size:

Single: 160x260 cm
Double: 240x260 cm
King: 270x260 cm","PKR 1,700",PKR 850,50,Double/Single/King
10,AW19-032 Bed Sheet Set,"Bed Sheet Set:
T-150 – Easy Care Collection

Easy care
Non- Iron
Wrinkle Resistance
High Strength
Durable
Affordable

Package Includes:
Single:

1 Bed Sheet
1 Pillowcase

Double & King:

1 Bed Sheet
2 Pillowcases

Size:

Single: 160x260 cm
Double: 240x260 cm
King: 270x260 cm","PKR 1,700",PKR 850,50,Double/Single/King
11,AW19-006 Bed Sheet Set,"Bed Sheet Set:
T-150 – Easy Care Collection

Easy care
Non- Iron
Wrinkle Resistance
High Strength
Durable
Affordable

Package Includes:
Single:

1 Bed Sheet
1 Pillowcase

Double & King:

1 Bed Sheet
2 Pillowcases

Size:

Single: 160x260 cm
Double: 240x260 cm
King: 270x260 cm","PKR 2,550","PKR 1,275",50,Double/King
12,AW19-003 Bed Sheet Set,"Bed Sheet Set:
T-150 – Easy Care Collection

Easy care
Non- Iron
Wrinkle Resistance
High Strength
Durable
Affordable

Package Includes:
Single:

1 Bed Sheet
1 Pillowcase

Double & King:

1 Bed Sheet
2 Pillowcases

Size:

Single: 160x260 cm
Double: 240x260 cm
King: 270x260 cm","PKR 2,550","PKR 1,275",50,Double/King
13,Purple Bridal Gift Set,"Towel Gift Pack Set
Treat your loved ones, with our embroidered towel Gift pack set, consist of Bathrobe, Bath Towel and Hand Towel!
These comfortable towels are made from 100% cotton, ensuring they will be soft, durable, and absorbent.
Experience luxury in your bathroom with our Gift Pack set. Adorned with a tailored weave border with Lurex Embroidery, the set is super absorbent and ultra-soft addition to your bathroom.","PKR 7,400","PKR 5,180",30,Large
14,Graphite Bridal Gift Set,"Towel Gift Pack Set
Treat your loved ones, with our embroidered towel Gift pack set, consist of Bathrobe, Bath Towel and Hand Towel!
These comfortable towels are made from 100% cotton, ensuring they will be soft, durable, and absorbent.
Experience luxury in your bathroom with our Gift Pack set. Adorned with a tailored weave border with Lurex Embroidery, the set is super absorbent and ultra-soft addition to your bathroom.","PKR 7,000","PKR 4,900",30,Medium/Large
15,Pinkish Red Dyed Fitted Sheet T-150,"Fitted sheet
Put a stop to ill-fitting bed sheets and late-night scrambles to get your bed sheets back on the bed with our range of fitted sheets. Perfect for your mattress to make sure everything stays tucked in tight.","PKR 1,400","PKR 1,120",20,Double/Single/King
16,Light Lilac Dyed Fitted Sheet T-150,"Fitted sheet
Put a stop to ill-fitting bed sheets and late-night scrambles to get your bed sheets back on the bed with our range of fitted sheets. Perfect for your mattress to make sure everything stays tucked in tight.","PKR 1,400","PKR 1,120",20,Double/Single/King
17,Cream Dyed Fitted Sheet T-150,"Fitted sheet
Put a stop to ill-fitting bed sheets and late-night scrambles to get your bed sheets back on the bed with our range of fitted sheets. Perfect for your mattress to make sure everything stays tucked in tight.","PKR 1,400","PKR 1,120",20,Double/Single/King
18,White Dyed Fitted Sheet T-150,"Fitted sheet
Put a stop to ill-fitting bed sheets and late-night scrambles to get your bed sheets back on the bed with our range of fitted sheets. Perfect for your mattress to make sure everything stays tucked in tight.","PKR 1,400","PKR 1,120",20,Double/Single/King
