,Name,Description,Old Price,New Price,Discount,Size(s)
0,Khaddar Shirt GLW-19-15,"Maroon, screen-printed dyed khaddar shirt with hand-work","PKR 3,790","PKR 1,895",50,X-Large
1,3 PC Cambric Outfit IPW-19-72,"Multi-colored, digital printed cambric kurti with hand-work, printed lawn dupatta and dyed cambric trouser","PKR 4,950","PKR 2,970",40,X-Small/Small/Medium/X-Large
2,3 PC Cambric Outfit IPW-19-71,"Multi-colored, digital printed cambric kurti with hand-work, printed lawn dupatta and dyed cambric trouser","PKR 4,950","PKR 2,970",40,Small/Medium/X-Large
3,3 PC Cambric Outfit IPW-19-70,"Multi-colored, digital printed cambric kurti with hand-work, printed lawn dupatta and dyed cambric trouser","PKR 4,950","PKR 2,970",40,X-Small/Small/X-Large
4,3 PC Cambric Outfit IPW-19-69,"Multi-colored, digital printed cambric kurti with hand-work, printed lawn dupatta and dyed cambric trouser","PKR 4,950","PKR 2,970",40,X-Small/Medium/X-Large
5,3 PC Cambric Outfit IPW-19-68,"Multi-colored, digital printed cambric kurti with hand-work, printed lawn dupatta and dyed cambric trouser","PKR 4,950","PKR 2,970",40,X-Small/Small/Medium/Large
6,3 PC Cambric Outfit IPW-19-67,"Multi-colored, digital printed cambric kurti with ben-collar and hand-work, printed lawn dupatta and dyed cambric trouser","PKR 4,950","PKR 2,970",40,X-Small/Small/X-Large
7,3 PC Cambric Outfit IPW-19-66,"Multi-colored, digital printed cambric kurti with hand-work, printed lawn dupatta and dyed cambric trouser","PKR 4,950","PKR 2,970",40,X-Small/Small/Medium/Large/X-Large
8,3 PC Cambric Outfit IPW-19-65,"Multi-colored, digital printed cambric kurti with hand-work, printed lawn dupatta and dyed cambric trouser","PKR 4,950","PKR 2,970",40,X-Small/Small/Medium/X-Large
9,3 PC Cambric Outfit IPW-19-63,"Multi-colored, digital printed cambric kurti with hand-work, printed lawn dupatta and dyed cambric trouser","PKR 4,950","PKR 2,970",40,X-Small/Small/Medium/Large/X-Large
10,Lawn Shirt GLS-19-285 DP,"Multi-colored, digital printed lawn shirt with hand-work and collar neck-line","PKR 3,950","PKR 1,975",50,X-Small/Small/Medium/Large/X-Large/XX-Large
11,Lawn Shirt GLS-19-283 DP,"Multi-colored, digital printed lawn shirt with hand-work and collar neck-line","PKR 3,950","PKR 1,975",50,X-Small/Small/Medium/Large/X-Large
12,Lawn Shirt GLS-19-282 DP,"Multi-colored, digital printed lawn shirt with hand-work, organza contrast and over-lapping front panel","PKR 3,950","PKR 1,975",50,Small/Medium/Large/X-Large
