,Name,Description,Old Price,New Price,Discount,Size(s)
0,Cotton Jacquard Top SLS-19-31 B,"Cotton Jacquard blouse with contrasting tassels and top-stitch details 
Reasons To Shop With Ideas:

FREE Nationwide Delivery
We offer FREE of cost delivery across Pakistan. There is no spending limit to avail free delivery. Products starting from as low as PKR 450 will be delivered to your address without any additional charges.
24x7x365 Customer Support
We offer uninterrupted, real-time online customer support with Live chat on our website. You can contact us on our Facebook Page. Our email handling services are available to assist you with all your queries, simply contact our customer care department by emailing us at customerservice@gulahmedshop.com or you can call us at +92-21-111-143-327.
Payment security and Convenience
We have secure integrated channels to offer you a seamless online payment experience. For the convenience of our customers we also offer Cash on Delivery nationwide for quick and easy distribution.
30-Days Return/Exchange Policy
You may return a product within 30 days of delivery. Products purchased online can be exchanged from any of our branches nationwide even suring sale period. For the utmost convenience of our customers we offer pick-up from your doorstep. If you need to return a product, contact our customer care department by emailing us at customerservice@gulahmedshop.com or call us at +92-21-111-143-327.
FREE Worldwide Shipping*
Don't live in Pakistan? Worry not. We offer FREE global shipping on all orders above 150USD. During SALE periods we offer FREE worldwide shipping on all orders above 250USD","PKR 3,000","PKR 1,800",40,X-Small/Small/Medium/Large
1,Viscose Top SLW-19-16 DP,"Gray, digital printed, plaid viscose blouse with bow-collar","PKR 3,150","PKR 2,205",30,X-Small/Small/Medium/Large
2,Cape-style Cardigan SWT-FW19-10 A,"Black, cape-style cardigan","PKR 3,750","PKR 1,875",50,
3,Blue SHAWL-19-34,"Size: L: 85"" x W: 45""","PKR 1,300",PKR 650,50,
4,Maroon SHAWL-19-34,"Size: L: 85"" x W: 45""","PKR 1,300",PKR 650,50,
5,Sweater SWT-FW19-23,"Cream, round-neck sweater with pink stripes","PKR 3,450","PKR 1,725",50,Small/Medium
6,Cardigan SWT-FW19-10 B,"Maroon, cape-style cardigan","PKR 3,750","PKR 1,875",50,
7,SLS-19-12 B,"Blue, karandi lawn, embroidered blouse with frill details","PKR 3,000","PKR 1,800",40,Small/Medium
8,Viscose Top SLW-19-18 DP,"Gray, digital printed, viscose houndstooth plaid blouse with frill details","PKR 3,150","PKR 2,205",30,X-Small/Small/Medium/Large
9,Viscose Top SLW-19-10 DP,"Black, v-neck, viscose blouse with silver chain print and pleat detail","PKR 2,750","PKR 1,925",30,X-Small/Small/Medium/Large
10,Viscose Top SLW-19-08 DP,"Gold, chain-print viscose top with draw-string hem detail","PKR 2,950","PKR 2,065",30,X-Small/Small/Medium
11,Viscose Top SLW-19-07 DP,"Maroon, digital printed, viscose plaid boxy top with flap panel","PKR 3,150","PKR 2,205",30,X-Small/Small/Medium/Large
12,Viscose Top SLW-19-06 DP,"Animal print, viscose, window check boxy top","PKR 2,950","PKR 2,065",30,Medium
13,Viscose Top SLW-19-05 DP,"Blue and green, digital printed, plaid viscose top with collar and knot detail","PKR 3,150","PKR 2,205",30,X-Small/Small/Medium
14,Viscose Top SLW-19-04 DP,"Olive Green, digital printed, plaid viscose top with frill-collar","PKR 3,150","PKR 2,205",30,Small/Medium
15,Viscose Top SLW-19-03 DP,"Gray, half contrast plaid, collared viscose top","PKR 2,750","PKR 1,925",30,X-Small/Small/Medium/Large
16,Viscose Top SLW-19-02 DP,"White, chain-print viscose top with front pockets and collar neck-line","PKR 2,950","PKR 2,065",30,X-Small/Small/Medium/Large
17,Viscose Top SLW-19-01 DP,"Black, digital printed, plaid viscose top with mock placket","PKR 3,150","PKR 2,205",30,X-Small/Small/Medium
18,Sweater SWT-FW19-26 B,"Brown, feather hoodie style sweater","PKR 4,600","PKR 2,300",50,Medium
19,Sweater SWT-FW19-26 A,"Light gray, feather hoodie style sweater","PKR 4,600","PKR 2,300",50,Small/Medium/Large
20,Sweater SWT-FW19-27 B,"Blush-pink, viscose-blend boxy sweater with fur details","PKR 4,600","PKR 2,300",50,Small/Medium
21,Sweater SWT-FW19-27 A,"Gray, viscose-blend boxy sweater with fur details","PKR 4,600","PKR 2,300",50,Small/Medium
22,Mint  Scarf SCF-FW19-36 D,Size: 65 x 190 cm,"PKR 2,350","PKR 1,175",50,
23,Blue  Scarf SCF-FW19-36 C,Size: 65 x 190 cm,"PKR 2,350","PKR 1,175",50,
24,Pink Purple  Scarf SCF-FW19-36 B,Size: 65 x 190 cm,"PKR 2,350","PKR 1,175",50,
25,Grey  Scarf SCF-FW19-28 A,Size: 69 x 175 cm,"PKR 2,150","PKR 1,075",50,
26,Brown  Scarf SCF-FW19-23,Size: 130 x 150 cm,"PKR 3,450","PKR 1,725",50,
27,Navy & Beige  Scarf SCF-FW19-21,Size: 130 x 150 cm,"PKR 3,450","PKR 1,725",50,
28,Grey  Scarf SCF-FW19-20,Size: 130 x 150 cm,"PKR 3,450","PKR 1,725",50,
29,Maroon  Scarf SCF-FW19-19,Size: 130 x 150 cm,"PKR 3,450","PKR 1,725",50,
30,Brown Grey  Scarf SCF-FW19-18,Size: 130 x 150 cm,"PKR 3,450","PKR 1,725",50,
31,Red & Grey  Scarf SCF-FW19-17,Size: 130 x 150 cm,"PKR 3,450","PKR 1,725",50,
32,Red  Scarf SCF-FW19-15,Size: 130 x 150 cm,"PKR 3,450","PKR 1,725",50,
33,Dark Grey  Scarf SCF-FW19-12,Size: 65 x 180 cm,"PKR 2,350","PKR 1,175",50,
34,Navy  Scarf SCF-FW19-09 A,Size: 62 x 180 cm,"PKR 2,350","PKR 1,175",50,
35,Beige SHAWL-19-23 R,"Size: L-85"" x W-45""","PKR 3,400","PKR 1,700",50,
36,Grey SHAWL-19-21 B R,"Size: L-85"" x W-45""","PKR 3,850","PKR 1,925",50,
37,Purple SHAWL-19-21 B R,,"PKR 3,850","PKR 1,925",50,
38,Magenta SHAWL-19-21 R,"Size: L-85"" x W-45""","PKR 3,450","PKR 1,725",50,
39,Beige-Cream SHAWL-19-18 R,"Size: L-70"" x W-35""","PKR 1,800",PKR 900,50,
40,Purple SHAWL-19-02,"Size: L-85"" x W-45""","PKR 3,450","PKR 1,725",50,
41,Black SHAWL-19-29 R,"Size: L-85"" - W-45""","PKR 3,800","PKR 1,900",50,
42,SLS-19-35,,"PKR 3,000","PKR 1,800",40,Small
43,Red Scarf SCF-FW19-26 C,Size: 70 x 180 cm,"PKR 2,150","PKR 1,075",50,
44,Yellow Scarf SCF-FW19-13,"100% polyester, yellow and gray scarf
Size: 65 x 180 cm","PKR 2,350","PKR 1,175",50,
45,Rust Scarf SCF-FW19-03 B,Size: 180 x 63 cm,"PKR 2,350","PKR 1,175",50,
46,Brown Scarf SCF-FW19-01,Size: 175 x 62 cm,"PKR 2,350","PKR 1,175",50,
47,Brown SHAWL-19-11,"Size: L-85"" x W-45""","PKR 3,850","PKR 1,925",50,
48,Beige SHAWL-19-08,"Size: L-85"" x W-45""","PKR 2,700","PKR 1,350",50,
49,Pink SHAWL-19-07,"Size: L-85"" x W-45""","PKR 3,450","PKR 1,725",50,
50,Grey SHAWL-19-05,"Size: L-70"" x W-35""","PKR 2,900","PKR 1,450",50,
51,Grey SHAWL-19-03,"Size: L-85"" x W-45""","PKR 3,850","PKR 1,925",50,
52,Cotton Top SLS-19-33,"Lilac, cotton, button-down shirt with contrasting cuff buttons","PKR 3,000","PKR 1,800",40,X-Small/Small/Medium/Large
53,Cotton Top SLS-19-34,"Blue, cotton printed boxy shirt with collar neck-line","PKR 3,000","PKR 1,800",40,X-Small/Small/Medium/Large
54,Cotton Jacquard Top SLS-19-31 A,"Navy blue, cotton Jacquard blouse with contrasting tassels and top-stitch details","PKR 3,000","PKR 1,800",40,X-Small/Small/Medium/Large
55,Rayon Top SLS-19-32,"Off-white, rayon blouse with pearl embellishment","PKR 2,700","PKR 1,620",40,Small/Medium
56,SLS-19-203,"White, 100% cotton, short-sleeved slogan t-shirt","PKR 1,065",PKR 639,40,X-Small/Small/Medium/Large
57,SLS-19-202,"Black, 100% cotton, short-sleeved slogan t-shirt","PKR 1,065",PKR 639,40,Small/Medium
58,SLS-19-22,"Light blue, button down, lycra cotton shirt with hand work, contrast collar, printed cuff and white collar","PKR 3,000","PKR 1,800",40,X-Small/Small/Medium/Large
59,Cotton Top SLS-19-19,"Blue, cotton drop shoulder top with polyester and silk contrast, quarter sleeves and animal print, pocket detail","PKR 2,680","PKR 1,608",40,X-Small/Small/Medium/Large
60,Cotton Top SLS-19-21,White lycra cotton top with drawstring detail,"PKR 2,680","PKR 1,608",40,Small/Medium
61,Cotton Top SLS-19-20,"White, collared lycra cotton boxy shirt with contrast pocket detail","PKR 3,215","PKR 1,929",40,X-Small/Large
62,Chambray Top SLS-19-16,"Green, chambray, collar top with cambric contrast and black and white stripe detail","PKR 2,680","PKR 1,608",40,Small/Medium
63,Cotton Top SLS-19-14,"Light purple, round neck cotton top with gather detail sleeves","PKR 2,465","PKR 1,479",40,X-Small/Small/Medium/Large
64,SLS-18-03,,"PKR 2,680","PKR 1,340",50,X-Small/Medium/Large
65,SLS-19-10,"Lilac, Cotton Blend, Striped Shirt with Pearls Detail on Cuff","PKR 3,000","PKR 1,800",40,X-Small/Small/Medium
66,SLS-19-09,"Blue, Cotton Blend, Checkered Top with Collared Neck and Gathers Detail","PKR 2,680","PKR 1,608",40,X-Small/Small/Medium/Large
67,SLS-19-08,"Off-white, Cotton Blend, Pin Striped Top with Tie-up Neckline","PKR 3,000","PKR 1,800",40,X-Small
68,SLS-19-07,"Pink, Cotton Blend, Striped Shirt with Contrast Collar & Cuff Detail","PKR 2,680","PKR 1,608",40,X-Small/Small/Medium/Large
69,SLS-19-06,"Grey, Cotton Chambry, Collar Shirt with Sleeves Button Placket Detail","PKR 2,680","PKR 1,608",40,X-Small/Small/Medium/Large
