,Name,Description,Old Price,New Price,Discount,Size(s)
0,WNS-07,"Khaddar Dupatta – 2.5 meters
Khaddar Shirt – 3 meters
Khaddar Bottom – 2.5 meters","PKR 3,842","PKR 2,690",30,
1,WSE-73,"Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt – 3 meters
Khaddar Dyed Bottom – 2.5 meters","PKR 4,557","PKR 3,190",30,
2,"3PC Digital Printed Khaddar Shirt with Digital Printed Trouser K-69","Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt – 1.75 meters
Digital Printed Khaddar Bottom – 1.75 meters","PKR 3,850","PKR 2,695",30,
3,"3PC 
Digital Printed Khaddar Shirt with 
Digital Printed Trouser K-68","Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt – 1.75 meters
Digital Printed Khaddar Bottom – 1.75 meters","PKR 3,850","PKR 2,695",30,
4,"3PC 
Digital Printed Khaddar Shirt with 
Digital Printed Trouser K-67","Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt – 1.75 meters
Digital Printed Khaddar Bottom – 1.75 meters","PKR 3,850","PKR 2,695",30,
5,"3PC Digital Printed Khaddar Shirt with Dyed Trouser K-66","Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt – 1.93 meters
Dyed Khaddar Bottom – 1.75 meters","PKR 3,850","PKR 2,695",30,
6,"3PC 
Digital Printed Khaddar Shirt with 
Digital Printed Trouser K-65","Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt – 1.75 meters
Digital Printed Khaddar Bottom – 1.75 meters","PKR 3,850","PKR 2,695",30,
7,2PCDigital Satin Shirt TDCS-01,"Digital Lawn Dupatta – 2.5 meters
Digital Satin Shirt – 1.75 meters","PKR 3,000","PKR 2,100",30,
8,"1PC Embroidered Satin Shirt DCSS-11","Digital Satin Shirt with Embroidered Neckline – 1.75 meters
Embroidered Neckline – 1 meter","PKR 2,390","PKR 1,673",30,
9,"1PC Digital Satin Shirt DCSS-10",Digital Satin Shirt – 1.75 meters,"PKR 1,800","PKR 1,260",30,
10,"1PC Digital Satin Shirt DCSS-09",Digital Satin Shirt – 1.75 meters,"PKR 1,800","PKR 1,260",30,
11,1PC Embroidered Satin Shirt DCSS-08,Digital Satin Shirt with Embroidered Front – 1.75 meters,"PKR 2,390","PKR 1,673",30,
12,"1PC Embroidered Satin Shirt DCSS-07",Digital Satin Shirt with Embroidered Front and Back – 1.75 meters,"PKR 3,200","PKR 2,240",30,
13,"1PC Digital Satin Shirt DCSS-05",Digital Satin Shirt – 1.87 meters,"PKR 1,800","PKR 1,260",30,
14,"1PC Digital Satin Shirt DCSS-04",Digital Satin Shirt – 1.9 meters,"PKR 1,800","PKR 1,260",30,
15,"3PC Embroidered Satin Shirt with Dyed Cambric Bottom Maroon DCS-15","Digital Lawn Dupatta – 2.5 meters
Digital Satin Shirt with Embroidered Neckline – 1.75 meters
Embroidered Neckline – 1 meter
Dyed Cambric Bottom – 2.5 meters","PKR 6,800","PKR 4,760",30,
16,"3PC 
Embroidered Satin Shirt with
 Dyed Cambric Bottom DCS-14","Digital Lawn Dupatta – 2.5 meters
Digital Satin Shirt with Embroidered Neckline – 1.75 meters
Lace­ – 1 meter
Embroidered Neckline – 1 meter
Dyed Cambric Bottom – 1.75 meters","PKR 5,490","PKR 3,843",30,
