Name,Description,Material,Color,Current Price,Original Price,Discount,Piece,Availability,Category,Size,Link
JJLK-W-JWS-19-3085 FB/Colonial Life ,Wear Type: CasualFabric Type: LawnNeckline: round neck with printed borderShirt Front: printed straight shirtShirt Back: printed straight shirt with box pleatSleeves: full length with straight sleeve with slit and plan fabricStyle Cut: Straight shirtLength: mediumEmbellishment: wide buttoning and fabric loops on the neckline,Lawn,Multicolor,PKR 1813.00,PKR 2590.00,30%,,In stock,Ladies Kurti,Small,https://www.junaidjamshed.com/jjlk-w-jws-19-3085-fb-colonial-life.html
JJLK-S-JWS-19-3093 FB/Elite ,Collection Type: Basic Digital Print Lawn ShirtWear Type: CasualFabric Type: LawnNeckline: Boat Neckline With Long Straight Slit PattiShirt Front: Straight Shirt With Crochet Lace Insertion In DamanShirt Back: Straight PrintedSleeves: Printed With Crochet Lace Insertion In Sleeve BorderStyle Cut: Straight Shirt With Round ArmholeLength: APCEmbellishment: Four Neon Pink Buttons At The Front Neckline Slit,Lawn,Multicolor,PKR 1743.00,PKR 2490.00,30%,,In stock,Ladies Kurti,Small|Large,https://www.junaidjamshed.com/jjlk-s-jws-19-3093-fb-elite.html
JJLT-W-19-8096 FB/ESWS-19-004 ,,Lawn,Off White,PKR 1042.50,PKR 1390.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-w-19-8096-fb-esws-19-004.html
JJLT-S-19-8081 FB/ESPS-19-002 ,,Lawn,BEIGE,PKR 1342.50,PKR 1790.00,25%,,In stock,Ladies Trousers,Small,https://www.junaidjamshed.com/jjlt-s-19-8081-fb-esps-19-002.html
JJLT-W-19-8093 FB/BSWS 19-001 ,,Lawn,WHITE,PKR 967.50,PKR 1290.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-w-19-8093-fb-bsws-19-001.html
JJLT-W-19-8106/B FB/Opulent-2 ,,Lawn,BEIGE,PKR 1192.50,PKR 1590.00,25%,,In stock,Ladies Trousers,ExtraExtra Small|Small,https://www.junaidjamshed.com/jjlt-w-19-8106-b-fb-opulent-2.html
JJLT-S-19-8089 FB/BLPT-19-001 ,,Lawn,WHITE,PKR 892.50,PKR 1190.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8089-fb-blpt-19-001.html
JJLT-S-19-8072 FB/Lace D ,,Lawn,Off White,PKR 967.50,PKR 1290.00,25%,,In stock,Ladies Trousers,Extra Small|ExtraExtra Small|Small,https://www.junaidjamshed.com/jjlt-s-19-8072-fb-lace-d.html
JJLT-S-19-8076 FB/ESJ-19-003 ,,Lawn,Black,PKR 1042.50,PKR 1390.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8076-fb-esj-19-003.html
JJLT-W-19-8098/B FB/Dhakai-2 ,,Lawn,Pistachio Green,PKR 1117.50,PKR 1490.00,25%,,In stock,Ladies Trousers,ExtraExtra Small|Small|Large,https://www.junaidjamshed.com/jjlt-w-19-8098-b-fb-dhakai-2.html
JJLT-W-19-8098/A FB/Dhakai-1 ,,Lawn,Black,PKR 1117.50,PKR 1490.00,25%,,In stock,Ladies Trousers,Extra Small|ExtraExtra Small|Small|Large,https://www.junaidjamshed.com/jjlt-w-19-8098-a-fb-dhakai-1.html
JJLT-S-19-8073/A FB/Lace A ,,Lawn,Off White,PKR 1267.50,PKR 1690.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8073-a-fb-lace-a.html
JJLT-W-19-8106/A FB/Opulent-1 ,,Lawn,Black,PKR 1192.50,PKR 1590.00,25%,,In stock,Ladies Trousers,ExtraExtra Small|Small,https://www.junaidjamshed.com/jjlt-w-19-8106-a-fb-opulent-1.html
JLST-S-STL-19-2648 FB/STPB-19-002 ,,Lawn,PINK,PKR 1436.50,PKR 1690.00,15%,,In stock,Ladies Stole,,https://www.junaidjamshed.com/jlst-s-stl-19-2648-fb-stpb-19-002.html
JJLT-S-19-8080 FB/ESPS-19-001 ,,Lawn,WHITE,PKR 1342.50,PKR 1790.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8080-fb-esps-19-001.html
JJLK-W-JWS-19-3085 FB/Colonial Life ,Wear Type: CasualFabric Type: LawnNeckline: round neck with printed borderShirt Front: printed straight shirtShirt Back: printed straight shirt with box pleatSleeves: full length with straight sleeve with slit and plan fabricStyle Cut: Straight shirtLength: mediumEmbellishment: wide buttoning and fabric loops on the neckline,Lawn,Multicolor,PKR 1813.00,PKR 2590.00,30%,,In stock,Ladies Kurti,Small,https://www.junaidjamshed.com/jjlk-w-jws-19-3085-fb-colonial-life.html
JJLK-S-JWS-19-3093 FB/Elite ,Collection Type: Basic Digital Print Lawn ShirtWear Type: CasualFabric Type: LawnNeckline: Boat Neckline With Long Straight Slit PattiShirt Front: Straight Shirt With Crochet Lace Insertion In DamanShirt Back: Straight PrintedSleeves: Printed With Crochet Lace Insertion In Sleeve BorderStyle Cut: Straight Shirt With Round ArmholeLength: APCEmbellishment: Four Neon Pink Buttons At The Front Neckline Slit,Lawn,Multicolor,PKR 1743.00,PKR 2490.00,30%,,In stock,Ladies Kurti,Small|Large,https://www.junaidjamshed.com/jjlk-s-jws-19-3093-fb-elite.html
JJLT-W-19-8096 FB/ESWS-19-004 ,,Lawn,Off White,PKR 1042.50,PKR 1390.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-w-19-8096-fb-esws-19-004.html
JJLT-S-19-8081 FB/ESPS-19-002 ,,Lawn,BEIGE,PKR 1342.50,PKR 1790.00,25%,,In stock,Ladies Trousers,Small,https://www.junaidjamshed.com/jjlt-s-19-8081-fb-esps-19-002.html
JJLT-W-19-8093 FB/BSWS 19-001 ,,Lawn,WHITE,PKR 967.50,PKR 1290.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-w-19-8093-fb-bsws-19-001.html
JJLT-W-19-8106/B FB/Opulent-2 ,,Lawn,BEIGE,PKR 1192.50,PKR 1590.00,25%,,In stock,Ladies Trousers,ExtraExtra Small|Small,https://www.junaidjamshed.com/jjlt-w-19-8106-b-fb-opulent-2.html
JJLT-S-19-8089 FB/BLPT-19-001 ,,Lawn,WHITE,PKR 892.50,PKR 1190.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8089-fb-blpt-19-001.html
JJLT-S-19-8072 FB/Lace D ,,Lawn,Off White,PKR 967.50,PKR 1290.00,25%,,In stock,Ladies Trousers,Extra Small|ExtraExtra Small|Small,https://www.junaidjamshed.com/jjlt-s-19-8072-fb-lace-d.html
JJLT-S-19-8076 FB/ESJ-19-003 ,,Lawn,Black,PKR 1042.50,PKR 1390.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8076-fb-esj-19-003.html
JJLT-W-19-8098/B FB/Dhakai-2 ,,Lawn,Pistachio Green,PKR 1117.50,PKR 1490.00,25%,,In stock,Ladies Trousers,ExtraExtra Small|Small|Large,https://www.junaidjamshed.com/jjlt-w-19-8098-b-fb-dhakai-2.html
JJLT-W-19-8098/A FB/Dhakai-1 ,,Lawn,Black,PKR 1117.50,PKR 1490.00,25%,,In stock,Ladies Trousers,Extra Small|ExtraExtra Small|Small|Large,https://www.junaidjamshed.com/jjlt-w-19-8098-a-fb-dhakai-1.html
JJLT-S-19-8073/A FB/Lace A ,,Lawn,Off White,PKR 1267.50,PKR 1690.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8073-a-fb-lace-a.html
JJLT-W-19-8106/A FB/Opulent-1 ,,Lawn,Black,PKR 1192.50,PKR 1590.00,25%,,In stock,Ladies Trousers,ExtraExtra Small|Small,https://www.junaidjamshed.com/jjlt-w-19-8106-a-fb-opulent-1.html
JLST-S-STL-19-2648 FB/STPB-19-002 ,,Lawn,PINK,PKR 1436.50,PKR 1690.00,15%,,In stock,Ladies Stole,,https://www.junaidjamshed.com/jlst-s-stl-19-2648-fb-stpb-19-002.html
JJLT-S-19-8080 FB/ESPS-19-001 ,,Lawn,WHITE,PKR 1342.50,PKR 1790.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8080-fb-esps-19-001.html
JJLK-W-JWS-19-3085 FB/Colonial Life ,Wear Type: CasualFabric Type: LawnNeckline: round neck with printed borderShirt Front: printed straight shirtShirt Back: printed straight shirt with box pleatSleeves: full length with straight sleeve with slit and plan fabricStyle Cut: Straight shirtLength: mediumEmbellishment: wide buttoning and fabric loops on the neckline,Lawn,Multicolor,PKR 1813.00,PKR 2590.00,30%,,In stock,Ladies Kurti,Small,https://www.junaidjamshed.com/jjlk-w-jws-19-3085-fb-colonial-life.html
JJLK-S-JWS-19-3093 FB/Elite ,Collection Type: Basic Digital Print Lawn ShirtWear Type: CasualFabric Type: LawnNeckline: Boat Neckline With Long Straight Slit PattiShirt Front: Straight Shirt With Crochet Lace Insertion In DamanShirt Back: Straight PrintedSleeves: Printed With Crochet Lace Insertion In Sleeve BorderStyle Cut: Straight Shirt With Round ArmholeLength: APCEmbellishment: Four Neon Pink Buttons At The Front Neckline Slit,Lawn,Multicolor,PKR 1743.00,PKR 2490.00,30%,,In stock,Ladies Kurti,Small|Large,https://www.junaidjamshed.com/jjlk-s-jws-19-3093-fb-elite.html
JJLT-W-19-8096 FB/ESWS-19-004 ,,Lawn,Off White,PKR 1042.50,PKR 1390.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-w-19-8096-fb-esws-19-004.html
JJLT-S-19-8081 FB/ESPS-19-002 ,,Lawn,BEIGE,PKR 1342.50,PKR 1790.00,25%,,In stock,Ladies Trousers,Small,https://www.junaidjamshed.com/jjlt-s-19-8081-fb-esps-19-002.html
JJLT-W-19-8093 FB/BSWS 19-001 ,,Lawn,WHITE,PKR 967.50,PKR 1290.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-w-19-8093-fb-bsws-19-001.html
JJLT-W-19-8106/B FB/Opulent-2 ,,Lawn,BEIGE,PKR 1192.50,PKR 1590.00,25%,,In stock,Ladies Trousers,ExtraExtra Small|Small,https://www.junaidjamshed.com/jjlt-w-19-8106-b-fb-opulent-2.html
JJLT-S-19-8089 FB/BLPT-19-001 ,,Lawn,WHITE,PKR 892.50,PKR 1190.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8089-fb-blpt-19-001.html
JJLT-S-19-8072 FB/Lace D ,,Lawn,Off White,PKR 967.50,PKR 1290.00,25%,,In stock,Ladies Trousers,Extra Small|ExtraExtra Small|Small,https://www.junaidjamshed.com/jjlt-s-19-8072-fb-lace-d.html
JJLT-S-19-8076 FB/ESJ-19-003 ,,Lawn,Black,PKR 1042.50,PKR 1390.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8076-fb-esj-19-003.html
JJLT-W-19-8098/B FB/Dhakai-2 ,,Lawn,Pistachio Green,PKR 1117.50,PKR 1490.00,25%,,In stock,Ladies Trousers,ExtraExtra Small|Small|Large,https://www.junaidjamshed.com/jjlt-w-19-8098-b-fb-dhakai-2.html
JJLT-W-19-8098/A FB/Dhakai-1 ,,Lawn,Black,PKR 1117.50,PKR 1490.00,25%,,In stock,Ladies Trousers,Extra Small|ExtraExtra Small|Small|Large,https://www.junaidjamshed.com/jjlt-w-19-8098-a-fb-dhakai-1.html
JJLT-S-19-8073/A FB/Lace A ,,Lawn,Off White,PKR 1267.50,PKR 1690.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8073-a-fb-lace-a.html
JJLT-W-19-8106/A FB/Opulent-1 ,,Lawn,Black,PKR 1192.50,PKR 1590.00,25%,,In stock,Ladies Trousers,ExtraExtra Small|Small,https://www.junaidjamshed.com/jjlt-w-19-8106-a-fb-opulent-1.html
JLST-S-STL-19-2648 FB/STPB-19-002 ,,Lawn,PINK,PKR 1436.50,PKR 1690.00,15%,,In stock,Ladies Stole,,https://www.junaidjamshed.com/jlst-s-stl-19-2648-fb-stpb-19-002.html
JJLT-S-19-8080 FB/ESPS-19-001 ,,Lawn,WHITE,PKR 1342.50,PKR 1790.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8080-fb-esps-19-001.html
JJLK-W-JWS-19-3085 FB/Colonial Life ,Wear Type: CasualFabric Type: LawnNeckline: round neck with printed borderShirt Front: printed straight shirtShirt Back: printed straight shirt with box pleatSleeves: full length with straight sleeve with slit and plan fabricStyle Cut: Straight shirtLength: mediumEmbellishment: wide buttoning and fabric loops on the neckline,Lawn,Multicolor,PKR 1813.00,PKR 2590.00,30%,,In stock,Ladies Kurti,Small,https://www.junaidjamshed.com/jjlk-w-jws-19-3085-fb-colonial-life.html
JJLK-S-JWS-19-3093 FB/Elite ,Collection Type: Basic Digital Print Lawn ShirtWear Type: CasualFabric Type: LawnNeckline: Boat Neckline With Long Straight Slit PattiShirt Front: Straight Shirt With Crochet Lace Insertion In DamanShirt Back: Straight PrintedSleeves: Printed With Crochet Lace Insertion In Sleeve BorderStyle Cut: Straight Shirt With Round ArmholeLength: APCEmbellishment: Four Neon Pink Buttons At The Front Neckline Slit,Lawn,Multicolor,PKR 1743.00,PKR 2490.00,30%,,In stock,Ladies Kurti,Small|Large,https://www.junaidjamshed.com/jjlk-s-jws-19-3093-fb-elite.html
JJLT-W-19-8096 FB/ESWS-19-004 ,,Lawn,Off White,PKR 1042.50,PKR 1390.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-w-19-8096-fb-esws-19-004.html
JJLT-S-19-8081 FB/ESPS-19-002 ,,Lawn,BEIGE,PKR 1342.50,PKR 1790.00,25%,,In stock,Ladies Trousers,Small,https://www.junaidjamshed.com/jjlt-s-19-8081-fb-esps-19-002.html
JJLT-W-19-8093 FB/BSWS 19-001 ,,Lawn,WHITE,PKR 967.50,PKR 1290.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-w-19-8093-fb-bsws-19-001.html
JJLT-W-19-8106/B FB/Opulent-2 ,,Lawn,BEIGE,PKR 1192.50,PKR 1590.00,25%,,In stock,Ladies Trousers,ExtraExtra Small|Small,https://www.junaidjamshed.com/jjlt-w-19-8106-b-fb-opulent-2.html
JJLT-S-19-8089 FB/BLPT-19-001 ,,Lawn,WHITE,PKR 892.50,PKR 1190.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8089-fb-blpt-19-001.html
JJLT-S-19-8072 FB/Lace D ,,Lawn,Off White,PKR 967.50,PKR 1290.00,25%,,In stock,Ladies Trousers,Extra Small|ExtraExtra Small|Small,https://www.junaidjamshed.com/jjlt-s-19-8072-fb-lace-d.html
JJLT-S-19-8076 FB/ESJ-19-003 ,,Lawn,Black,PKR 1042.50,PKR 1390.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8076-fb-esj-19-003.html
JJLT-W-19-8098/B FB/Dhakai-2 ,,Lawn,Pistachio Green,PKR 1117.50,PKR 1490.00,25%,,In stock,Ladies Trousers,ExtraExtra Small|Small|Large,https://www.junaidjamshed.com/jjlt-w-19-8098-b-fb-dhakai-2.html
JJLT-W-19-8098/A FB/Dhakai-1 ,,Lawn,Black,PKR 1117.50,PKR 1490.00,25%,,In stock,Ladies Trousers,Extra Small|ExtraExtra Small|Small|Large,https://www.junaidjamshed.com/jjlt-w-19-8098-a-fb-dhakai-1.html
JJLT-S-19-8073/A FB/Lace A ,,Lawn,Off White,PKR 1267.50,PKR 1690.00,25%,,In stock,Ladies Trousers,ExtraExtra Small,https://www.junaidjamshed.com/jjlt-s-19-8073-a-fb-lace-a.html
JJLT-W-19-8106/A FB/Opulent-1 ,,Lawn,Black,PKR 1192.50,PKR 1590.00,25%,,In stock,Ladies Trousers,ExtraExtra Small|Small,https://www.junaidjamshed.com/jjlt-w-19-8106-a-fb-opulent-1.html
