Name,Description,Material,Color,Current Price,Old Price,Discount,Piece,Best-seller
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Sleeves Lawn Printed 0.75m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Embroidered Gala/,Lawn,Orange,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Print Embroidered 2.5m/Sleeve Lawn Printed 1.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Green,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Sleeve Lawn Print Embroidered 1.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Embroidered Organza Patti/,Lawn,Blue,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Sleeve Lawn Print Embroidered 0.5m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Green,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Print Embroidered 2.5m/Sleeve Lawn Print Embroidered 0.5m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Black,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Print Embroidered 2.5m/Sleeve Lawn Printed 0.75m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Brown,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Print Embroidered 2.5m/Sleeve Lawn Printed 0.75m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Red,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front Lawn Print Embroidered 1.25m/Back Lawn Printed 1.25m/Sleeve Lawn Printed 0.75m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Blue,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Sleeves Lawn Printed 0.75m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Embroidered Gala/,Lawn,Green,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Print Embroidered 2.5m/Sleeve Lawn Printed 1.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Blue,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Sleeve Lawn Print Embroidered 1.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Embroidered Organza Patti/,Lawn,Orange,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Sleeve Lawn Print Embroidered 0.5m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Yellow,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Print Embroidered 2.5m/Sleeve Lawn Print Embroidered 0.5m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Blue,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Print Embroidered 2.5m/Sleeve Lawn Printed 0.75m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Green,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Print Embroidered 2.5m/Sleeve Lawn Printed 0.75m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Blue,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front Lawn Print Embroidered 1.25m/Back Lawn Printed 1.25m/Sleeve Lawn Printed 0.75m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Off-White,PKR 3000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Sleeve Lawn Printed 0.75m/Chiffon Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Blue,PKR 3500,,,3Pc,FALSE
Shirt Shalwar Dupatta,Lawn Printed Shirt 3.0m/Chiffon Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,White,PKR 3500,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Sleeve Lawn Printed 0.75m/Chiffon Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Green,PKR 3500,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Sleeve Lawn Printed 0.75m/Chiffon Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Green,PKR 3500,,,3Pc,FALSE
Shirt Shalwar Dupatta,Lawn Printed Shirt 3.0m/Chiffon Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Yellow,PKR 3500,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Sleeve Lawn Printed 0.75m/Chiffon Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Black,PKR 3500,,,3Pc,FALSE
Shirt Shalwar Dupatta,Zari Embroidered Velvet Shirt Front 1.25m/Zari Embroidered Velvet Shirt Back 1.25m/Zari Embroidered Velvet Sleeves 0.75m/Zari Embroidered Velvet Border 2.0m/Dyed Velvet Pants 2.5m/Printed Tissue Silk Dupatta 2.5m/,Velvet,Black,PKR 12000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Zari Embroidered Velvet Shirt Front 1.25m/Zari Embroidered Velvet Shirt Back 1.25m/Zari Embroidered Velvet Sleeves 0.75m/Zari Embroidered Velvet Border 2.0m/Dyed Velvet Pants 2.5m/Printed Tissue Silk Dupatta 2.5m/,Velvet,Maroon,PKR 12000,,,3Pc,FALSE
Shirt Shalwar Dupatta,Zari Embroidered Velvet Shirt Front 1.25m/Zari Embroidered Velvet Shirt Back 1.25m/Zari Embroidered Velvet Sleeves 0.75m/Zari Embroidered Velvet Border 2.0m/Dyed Velvet Pants 2.5m/Printed Tissue Silk Dupatta 2.5m/,Velvet,Blue,PKR 12000,,,3Pc,FALSE
Shirt Dupatta,Front & Sleeves Lawn Printed 2.0m/Back Lawn Printed 1.25m/Lawn Printed Dupatta 2.5m/,Lawn,Blue,PKR 1601,,,2Pc,FALSE
Shirt Shalwar Dupatta,Lawn Printed Shirt 3.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Yellow,PKR 2200,,,3Pc,FALSE
Shirt Shalwar,Front Lawn Printed 1.25m/Back Lawn Printed 1.25m/Sleeves Lawn Printed 0.5m/Shalwar 2.5m/,Lawn,Blue,PKR 1500,,,2Pc,FALSE
Shirt Dupatta,Front & Back-lawn Printed 2.5m/Sleeves Lawn Printed 0.75m/Lawn Printed Dupatta 2.5m/,Lawn,Green,PKR 1601,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front & Sleeves Lawn Printed 2.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Back-lawn Printed 1.25m/,Lawn,Blue,PKR 2200,,,3Pc,FALSE
Shirt Shalwar,Front Lawn Printed 1.25m/Back Lawn Printed 1.25m/Sleeves Lawn Printed 0.5m/Shalwar 2.5m/,Lawn,Green,PKR 1500,,,2Pc,FALSE
Shirt Dupatta,Lawn Printed Shirt 3.0m/Lawn Printed Dupatta 2.5m/,Lawn,Blue,PKR 1601,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Sleeves Lawn Printed 0.75m/,Lawn,Purple,PKR 2200,,,3Pc,FALSE
