,Name,Description,Composition & Care,Old Price,New Price,Discount,Size(s),Product Link
0,charcoal blazer,Grab your favorite charcoal blazer this season,"Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,990","PKR 2,790",30%,"12-18M,18-24M,02-03Y,03-04Y,06-09M,09-12M",https://outfitters.com.pk/collections/boys/products/tbtc493005-chr
1,brown blazer,Grab your favorite brown blazer this season,"Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,990","PKR 2,790",30%,"12-18M,18-24M,02-03Y,03-04Y,06-09M,09-12M",https://outfitters.com.pk/collections/boys/products/tbtc493005-brn
2,Typographic Hoodie,"Hoodie featuring long sleeves, contrast front and back and typographic design on pouch and hood","100% Cotton

Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight",PKR 890,PKR 590,33%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/boys/products/tbtp493042-red
3,Typographic Hoodie,"Hoodie featuring long sleeves, contrast front and back and typographic design on pouch and hood","100% Cotton

Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight",PKR 890,PKR 590,33%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/boys/products/tbtp493042-nvy
4,Basic hoodie,"Basic hoodie with zip-up fastening, quilted sleeves and pockets","60%Cotton,40%Polyester
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 1,890","PKR 1,290",31%,"11-12Y,13-14Y,04-05Y,05-06Y,06-07Y,07-08Y,09-10Y",https://outfitters.com.pk/collections/boys/products/jbtc494037-hgr
5,Basic hoodie,"Hoodie with zip-up front, quilted sleeves, two side pockets and ribbed elastic cuffs and hem","60%Cotton,40%Polyester
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 1,890","PKR 1,290",31%,"11-12Y,13-14Y,04-05Y,05-06Y,06-07Y,07-08Y,09-10Y",https://outfitters.com.pk/collections/boys/products/jbtc494037-agn
6,Sweatshirt Hoodie,"Color block sweatshirt with a hood, long sleeves, elastic cuffs and hem","60% Cotton, 40% Polyester

Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 1,690","PKR 1,190",29%,"11-12Y,13-14Y,04-05Y,05-06Y,06-07Y,07-08Y,09-10Y",https://outfitters.com.pk/collections/boys/products/jbtf494044ogb
7,Dress Shirt with waistcoat,"Dress shirt featuring long sleeves, classic collar and button down front with waistcoat and bow on top","Cotton

Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 2,890","PKR 1,990",31%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/boys/products/tbtp493055-grw
8,Damn Good’ statement hoodie,"Hoodie with long sleeves, statement print on front, pouch pocket and stripe running on hem and cuffs","70% Cotton, 30% Polyester

Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 1,990","PKR 1,390",30%,"11-12Y,13-14Y,04-05Y,05-06Y,06-07Y,07-08Y,09-10Y",https://outfitters.com.pk/collections/boys/products/jbtf494040-yel
9,Fast sweatshirt,"Round neck sweatshirt featuring long sleeves, fast text and blocks pattern on front with elastic hem and cuffs","70% Cotton,30% Polyester 
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 1,690","PKR 1,190",29%,"11-12Y,13-14Y,04-05Y,05-06Y,06-07Y,07-08Y,09-10Y",https://outfitters.com.pk/collections/boys/products/jbtc494031-bur
