,Name,Description,Composition & Care,Old Price,New Price,Discount,Size(s),Product Link
0,Embossed design poodle sweater,"Flecked Knit sweater featuring a poodle with a sequence design, faux fur and round neck","Knit
Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 2,690","PKR 1,890",29%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtf495015-pnk
1,Embossed design poodle sweater,"Flecked Knit sweater featuring a poodle with a sequence design, faux fur and round neck","Knit
Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 2,690","PKR 1,890",29%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtf495015-nvy
2,Star Design Sweater,"Soft touch sweater with cute star design, round neck and slightly longer length at back","Knit
Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 2,690","PKR 1,890",29%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtf495011-pnk
3,Faux Fur High-neck Sweater,Wanna look stylish for the day? Go for this faux fur highneck featuring stripy ribbed cuffs. Pair it with jeans or trousers.,"Knit
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 2,690","PKR 1,890",29%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtf495006-prp
4,Faux Fur High-neck Sweater,Wanna look stylish for the day? Go for this faux fur highneck featuring stripy ribbed cuffs. Pair it with jeans or trousers.,"Knit
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 2,690","PKR 1,890",29%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtf495006-nvy
5,Hooded Jacket,Feel the feminine vibes for the day in this hooded zip up pull over jacket featuring sequined flowers on the left chest area with a furry patch for pockets on front.,"Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 1,490",PKR 990,33%,"12-18M,18-24M,02-03Y,03-04Y,03-06M,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtp495029-bpk
6,Pull Over Teddy Jacket,Upgrade your layering essentials with this zip up pull up teddy jacket.,"Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,990","PKR 1,990",50%,"12-18M,18-24M,02-03Y,03-04Y,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtf495003-pnk
7,Pull Over Teddy Jacket,Upgrade your layering essentials with this zip up pull up teddy jacket.,"Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,990","PKR 1,990",50%,"12-18M,18-24M,02-03Y,03-04Y,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtf495003-dgr
8,Hooded jacket,Keep your little girls warm in this winter with this parachute hooded zip up puffer jacket,"Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,990","PKR 1,990",50%,"12-18M,18-24M,02-03Y,03-04Y,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtc495005-wtb
9,Basic Puffer Jacket,"Basic jacket with quilted pattern, pockets and zip-up fastening on front","Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 3,490","PKR 2,390",31%,"12-18M,18-24M,02-03Y,03-04Y,06-09M,09-12M",https://outfitters.com.pk/collections/girls/products/tgtc495004-pnk
