,Name,Description,Composition & Care,Old Price,New Price,Discount,Size(s),Product Link
0,Colour Block Puffer gilet,"Premium Gilet with puffer design, color block pattern and zipped side pockets",• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 5,490","PKR 3,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtc491271-oon
1,Casual Blazer,"A comfortable yet stylish blazer perfect for any office events or wedding featuring a pointed lapel collar, long sleeves buttoned cuffs, front welt pockets at chest and waist, flap pockets at hip back vent and front button closure.",• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 8,990","PKR 4,490",50%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtp491016olv
2,Knitted Blazer,"A comfortable yet stylish Knitted blazer perfect for any office events or wedding featuring a self textured design, a pointed lapel collar, long sleeves buttoned cuffs, front welt pockets at chest and waist, flap pockets at hip back vent and front button closure.",• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 8,990","PKR 6,290",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtp491015gry
3,Knitted Blazer,"A comfortable yet stylish Knitted blazer perfect for any office events or wedding featuring a self textured design, a pointed lapel collar, long sleeves buttoned cuffs, front welt pockets at chest and waist, flap pockets at hip back vent and front button closure.",• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 8,990","PKR 6,290",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtp491015dny
4,Bomber Jacket,"Premium bomber jacket with metallic zipper front, zipped side pockets and ribbed elastic hem, cuffs and collar","Wash and medium iron inside out

Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 6,490","PKR 4,490",30%,"L,M,S,XL",https://outfitters.com.pk/collections/men/products/mtp491006-nvy
5,Plaid pattern zipper jacket,zipper jacket with plaid pattern and zipped pockets,"Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 4,990","PKR 3,490",30%,"L,M,S,XL",https://outfitters.com.pk/collections/men/products/mtp491087-gry
6,Zipper jacket,"Zip-up front jacket with stripped elastic cuffs, hem and neck and zipped pockets","Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 3,490","PKR 2,390",31%,"L,M,S,XL",https://outfitters.com.pk/collections/men/products/mtp491076gbw
7,Zipper jacket,"Zip-up front jacket with stripped elastic cuffs, hem and neck and zipped pockets","Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 3,490","PKR 2,390",31%,"L,M,S,XL",https://outfitters.com.pk/collections/men/products/mtp491076nmw
8,Camouflage Zipper Jacket,"Zipper jacket with  camouflage print, zipped pockets and long sleeves","60%Cotton/40%Polyester
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 3,990","PKR 2,790",30%,"L,M,S,XL",https://outfitters.com.pk/collections/men/products/mtp491086cmo
9,Puffer gilet,"Premium puffer gilet with detachable hood, side pockets, quilted pattern and contrast zip-up fastening",• Wash and iron inside out• Do not keep in damp state• Dry flat ground and avoid direct sunlight,"PKR 5,490","PKR 3,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtc491272-nyb
10,blue SWEATER,An excellent piece light enough to layer with while staying comfortable,"Knit
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtp491054-blu
11,high neck knit sweater,High neck knit sweater with pocket and sleeve detailing,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491044-nvy
12,high neck knit sweater,High neck knit sweater with pocket and sleeve detailing,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491044-lgr
13,colour block hoodie,Hoodie with adjustable drawstrings and colour block design.,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 4,490","PKR 3,090",31%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtp491055-lyl
14,Contrast ribbed sweater,"Basic knit sweater with crew neck, featuring contrast ribbing at the neckline and cuffs",• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 1,990",50%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491035nvy
15,Contrast ribbed sweater,"Basic knit sweater with crew neck, featuring contrast ribbing at the neckline and cuffs",• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 1,990",50%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491035brn
16,Textured cardigan,Textured cardigan with long sleeves and ribbing at the cuffs,• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 4,490","PKR 2,190",51%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491032-olg
17,Regular Fit Lapel Cardigan,"Our navy front open cardigan comes with a slightly long length along with front pockets, pair it up with a solid color shirt this season.","100% Cotton
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 4,490","PKR 2,190",51%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491040nvy
18,Regular Fit Lapel Cardigan,"Our dark green front open cardigan comes with a slightly long length along with front pockets, pair it up with a solid color shirt this season.","100% Cotton
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 4,490","PKR 2,190",51%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491040dgr
19,Regular Fit Lapel Cardigan,"Our yellow front open cardigan comes with a slightly long length along with front pockets, pair it up with a solid color shirt this season.","100% Cotton
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 4,490","PKR 2,190",51%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491040cml
20,SWEATER,,Knit,"PKR 3,990","PKR 2,790",30%,"L,M,S,XL",https://outfitters.com.pk/collections/men/products/mtf491046red
21,Fierce' sweatshirt hoodie,"Sweatshirt with hoodie, adjustable thick drawstrings, long sleeves with stripped design and big emblem printed on front","73% Polyester, 27% Viscose
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 2,290","PKR 1,590",30%,"L,M,S,XL",https://outfitters.com.pk/collections/men/products/mtp491090hgr
22,Confident Sweatshirt,Basic sweatshirt with a contrast colour block design and a round neckline,"• 48% Polyester, 52% Cotton• Wash and medium iron inside out• Do not bleach or tumble dry• Dry clean, any solvent except trichloroethylene• Dry flat and avoid direct sunlight","PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtp491045-nyr
23,Colour block 'CONFIDENT' sweatshirt,Basic sweatshirt with a contrast colour block design and a round neckline,"• 48% Polyester, 52% Cotton• Wash and medium iron inside out• Do not bleach or tumble dry• Dry clean, any solvent except trichloroethylene• Dry flat and avoid direct sunlight","PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtp491045-bkg
24,Contrast sleeve panelled sweater,Basic sweater with crew neck and contrast panel design on sleeves,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491051-nvy
25,Contrast panelled sweater,"Knit sweater with contrast panels, ribbed trims & neckline",• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491047nvy
26,Contrast panelled sweatshirt,"Cobalt blue sweatshirt with contrast panel design, both front and back",• Terry 100% Cotton• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491042blu
27,Camo sweater with side stripes,"knitted sweater with crew neck, camouflage print and side stripes",• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491036mcm
28,Contrast sleeve 'Varsity' sweater,Basic sweater with contrast sleeve panel design,• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491050-oft
29,Contrast sleeve 'Varsity' sweater,Basic sweater with contrast sleeve panel design,• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491050-gry
30,Contrast sleeve 'Varsity' sweater,Basic sweater with contrast sleeve panel design,• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491050-blk
31,Sweater vest,Knit sweater with v neckline and ribbing at neckline and hem,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,490","PKR 1,690",51%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491043-lgr
32,Black sweatshirt,"Basic black knit sweatshirt, featuring a chest patch pocket with red outline, along with ribbed collar and cuffs.",• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491034-blk
33,Puffer gilet,"Premium puffer gilet with detachable hood, side pockets, quilted pattern and contrast zip-up fastening",• Wash and iron inside out• Do not keep in damp state• Dry flat ground and avoid direct sunlight,"PKR 5,490","PKR 3,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtc491272-olb
34,Plaid pattern shirt,"Button down shirt with long sleeves, chest flap pockets and contrasting plaid pattern","Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 2,690","PKR 1,890",29%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491118-nwr
35,Regular Fit Crew neck sweatshirt,Crew neck sweatshirt featuring an embroidered logo on chest and long sleeves.,"Cotton
Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 2,290","PKR 1,590",30%,"S,M,L,XL",https://outfitters.com.pk/collections/men/products/mtf491069-agn
