,Name,Description,Composition & Care,Old Price,New Price,Discount,Size(s),Product Link
0,Colour Block Puffer gilet,"Premium Gilet with puffer design, color block pattern and zipped side pockets",• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 5,490","PKR 3,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtc491271-oon
1,Contrast sleeve 'Varsity' sweater,Basic sweater with contrast sleeve panel design,• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491050-blk
2,Regular Fit SWEATER,"The knitted sleeveless sweater comes in black color along with v neckline, pair it with your favorite button down.","88% Polyester, 12 %Nylon
Wash Inside Out. Use recommended detergents for colors, Iron inside out
Do not keep in damp state
Please dry up while lying out on a flat ground. Do not dry with sunlight directly","PKR 3,490","PKR 2,390",31%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtc491031-blk
3,Contrast panelled sweater,"Knit sweater with contrast panels, ribbed trims & neckline",• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491047nvy
4,Contrast sleeve 'Varsity' sweater,Basic sweater with contrast sleeve panel design,• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491050-oft
5,Camo sweater with side stripes,"knitted sweater with crew neck, camouflage print and side stripes",• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491036mcm
6,Contrast ribbed sweater,"Basic knit sweater with crew neck, featuring contrast ribbing at the neckline and cuffs",• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 1,990",50%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491035brn
7,Suede Jacket,Front Zip closure with ribbed hem,"Suede
Wash Inside Out. Use recommended detergents for colors, Iron inside out.
Do not keep in damp state. Please dry up while lying out on a flat ground. Do not dry with sunlight directly","PKR 6,490","PKR 4,490",30%,"XS,S,M,L",https://outfitters.com.pk/collections/outwear-jackets/products/wtc492005-stn
8,Textured cardigan,Textured cardigan with long sleeves and ribbing at the cuffs,• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 4,490","PKR 2,190",51%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491032-olg
9,Black sweatshirt,"Basic black knit sweatshirt, featuring a chest patch pocket with red outline, along with ribbed collar and cuffs.",• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491034-blk
10,Contrast ribbed sweater,"Basic knit sweater with crew neck, featuring contrast ribbing at the neckline and cuffs",• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 1,990",50%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491035nvy
11,Contrast sleeve 'Varsity' sweater,Basic sweater with contrast sleeve panel design,• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491050-gry
12,BLACK PLAIN BLAZER,Black Plain Blazer with side pockets to look perfect this season,"Wash Inside Out. Use recommended detergents for colors, Iron inside out.
Please line dry in shade. Do not dry with sunlight directly","PKR 5,990","PKR 4,190",30%,"XS,S,M,L",https://outfitters.com.pk/collections/outwear-jackets/products/wtf492010-blk
13,Contrast panelled sweatshirt,"Cobalt blue sweatshirt with contrast panel design, both front and back",• Terry 100% Cotton• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491042blu
14,Regular Fit Mock Collar Jacket,Feel warm in this regular fit mock collar jacket,"Polyurethane
Wash Inside Out. Use recommended detergents for colors, Iron inside out.
Do not keep in damp state. Please dry up while lying out on a flat ground. Do not dry with sunlight directly","PKR 6,990","PKR 3,490",50%,"XS,S,M,L",https://outfitters.com.pk/collections/outwear-jackets/products/wtc492003-blk
15,Regular Fit SWEATER,"The knitted sleeveless sweater comes in beige color along with v neckline, pair it with your favorite button down.","88% Polyester, 12 %Nylon
Wash Inside Out. Use recommended detergents for colors, Iron inside out
Do not keep in damp state
Please dry up while lying out on a flat ground. Do not dry with sunlight directly","PKR 3,490","PKR 2,390",31%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtc491031-bge
16,"Two Tone ""Confident"" Sweatshirt","Crew Neck Sweatshirt featuring a two tone design, "" confident"" slogan and ribbed trims makes it the perfect example of comfort and style","48% Polyester, 52% Cotton
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491037-lgr
17,Puffer gilet,"Premium puffer gilet with detachable hood, side pockets, quilted pattern and contrast zip-up fastening",• Wash and iron inside out• Do not keep in damp state• Dry flat ground and avoid direct sunlight,"PKR 5,490","PKR 3,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtc491272-olb
18,Puffer gilet,"Premium puffer gilet with detachable hood, side pockets, quilted pattern and contrast zip-up fastening",• Wash and iron inside out• Do not keep in damp state• Dry flat ground and avoid direct sunlight,"PKR 5,490","PKR 3,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtc491272-nyb
19,ZIPPER JACKET,This zipper jacket looks cool with chinos or jeans,"Wash Inside Out. Use recommended detergents for colors, Iron inside out
Do not keep in damp state. Please dry up while lying out on a flat ground. Do not dry with sunlight directly","PKR 6,990","PKR 4,890",30%,"XS,S,M,L",https://outfitters.com.pk/collections/outwear-jackets/products/wtc492027-mnb
20,ZIPPER JACKET,This zipper jacket looks cool with chinos or jeans,"Wash Inside Out. Use recommended detergents for colors, Iron inside out
Do not keep in damp state. Please dry up while lying out on a flat ground. Do not dry with sunlight directly","PKR 6,990","PKR 4,890",30%,"XS,S,M,L",https://outfitters.com.pk/collections/outwear-jackets/products/wtc492027-blk
21,Confident Sweatshirt,Basic sweatshirt with a contrast colour block design and a round neckline,"• 48% Polyester, 52% Cotton• Wash and medium iron inside out• Do not bleach or tumble dry• Dry clean, any solvent except trichloroethylene• Dry flat and avoid direct sunlight","PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtp491045-nyr
22,Colour block 'CONFIDENT' sweatshirt,Basic sweatshirt with a contrast colour block design and a round neckline,"• 48% Polyester, 52% Cotton• Wash and medium iron inside out• Do not bleach or tumble dry• Dry clean, any solvent except trichloroethylene• Dry flat and avoid direct sunlight","PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtp491045-bkg
23,Contrast sleeve panelled sweater,Basic sweater with crew neck and contrast panel design on sleeves,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491051-nvy
24,Contrast sleeve panelled sweater,Basic sweater with crew neck and contrast panel design on sleeves,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491051-blu
25,pattern zipper JACKET,Get a captivating look in our front open light weight zipper jacket,"Wash Inside Out. Use recommended detergents for colors, Iron inside out
Do not keep in damp state. Please dry up while lying out on a flat ground. Do not dry with sunlight directly","PKR 3,990","PKR 2,790",30%,"XS,S,M,L",https://outfitters.com.pk/collections/outwear-jackets/products/wtf492013-nyb
26,blue SWEATER,An excellent piece light enough to layer with while staying comfortable,"Knit
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtp491054-blu
27,high neck knit sweater,High neck knit sweater with pocket and sleeve detailing,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491044-nvy
28,high neck knit sweater,High neck knit sweater with pocket and sleeve detailing,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491044-lgr
29,long sleeved blazer,v-neck long-sleeved blazer with metal buttons make perfect combo for this season,"Knit
Wash Inside Out. Use recommended detergents for colors, Iron inside out.
Please line dry in shade. Do not dry with sunlight directly","PKR 5,490","PKR 2,690",51%,"XS,S,M,L",https://outfitters.com.pk/collections/outwear-jackets/products/wtf492011-blk
30,Sweater vest,Knit sweater with v neckline and ribbing at neckline and hem,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 3,490","PKR 1,690",51%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491043-lgr
31,"Two Tone ""Confident"" Sweatshirt","Crew Neck Sweatshirt featuring a two tone design, "" confident"" slogan and ribbed trims makes it the perfect example of comfort and style","48% Polyester, 52% Cotton
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,990","PKR 2,790",30%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtf491037-nvy
32,colour block hoodie,Hoodie with adjustable drawstrings and colour block design.,• Knit• Wash and iron inside out• Do not keep in damp state• Dry flat and avoid direct sunlight,"PKR 4,490","PKR 3,090",31%,"S,M,L,XL",https://outfitters.com.pk/collections/outwear-jackets/products/mtp491055-lyl
