ID,Name,Detail,Description,Old-Price,New-Price,Shirt,Shirt-Color,Shirt-Fabric,Trouser,Trouser-Color,Trouser-Fabric,Dupatta,Dupatta-Color,Dupatta-Fabric,Discount
0,Intense Auburn,Unstitched 3-Piece,"Layers of complementary patterns amp up this crimson, cream and black khaddar outfit.","Rs 5,490.0","Rs 4,117.5",Shirt Printed Khaddar Shirt 3 m,Red & Black,Khaddar,Dyed Khaddar Trouser 2.5 m,Black,Khaddar,Dupatta Printed Acrylic Wool Shawl 2.5 m,Red & Black,Acrylic Wool,25%
1,Tapestry Beige,Unstitched 3-Piece,"This elegant neutral jacquard shirt is complemented with embroidered borders, and features khaddar trousers. A ruby-toned shawl completes the ensemble.","Rs 7,990.0","Rs 5,992.5",Shirt Dyed Embroidered Self Jacquard Shirt Front 1.15 m Dyed Self Jacquard Shirt Back & Sleeves 1.85 m Embroidered Border 1 - 1 PC Embroidered Border 2 - 1 PC,Beige & Black,Self Jacquard,Dyed Khaddar Trouser 2.5 m,Beige,Khaddar,Dupatta Printed Dobby Acrylic Wool Shawl 2.5 m,Red,Dobby Acrylic Wool,25%
2,Mystic Orchid,Unstitched 3-Piece,"An exquisite noir printed khaddar shirt with a luxurious embroidered satin border, tissue dupatta, and cambric trousers.","Rs 6,490.0","Rs 4,867.5",Shirt Digital Printed Khaddar Shirt 3 m Embroidered Satin Border 1 PC Embroidered Patti 1 PC,Navy & Off-White,Khaddar,Dyed Slub Cambric Trouser 2 m,Navy,Slub Cambric,Dupatta Digital Printed Pure Tissue Dupatta 2.5 m,Navy & Pink,Pure Tissue,25%
3,Stormy Blue Shawl,Unstitched 1-Piece,"This extravagant shawl features swirling orange and white motifs atop an inky blue base, and is crafted from pure wool.","Rs 6,490.0","Rs 4,867.5",,,,,,,,,,25%
4,Orchid Hush Shawl,Unstitched 1-Piece,This resplendent printed pure wool shawl features mustard accents and colourful motifs.,"Rs 6,490.0","Rs 4,867.5",,,,,,,,,,25%
5,Sea Washes,Unstitched 3-Piece,"This pistachio wonder comprises of an embroidered lawn shirt and a printed pure tissue dupatta. A solid cotton trouser finishes the look, while embroidered organza borders for the sleeves and trousers add a graceful touch to the ensemble.","Rs 7,990.0","Rs 5,992.5",Shirt Dyed & Embroidered Lawn  Shirt Front 1.15mDyed Lawn  Shirt Back & Sleeve 1.85mEmbroidered Organza Trouser Border 1PCEmbroidered Organza Sleeve Border 1PC,Pistachio Green,Lawn,Dyed Cotton Trouser 2.5m,Pistachio Green,Cotton,Dupatta Digital Printed Pure Tissue Dupatta 2.5m,Pistachio Green,Pure Tissue,25%
6,The Shor B,Unstitched 3-Piece,"This regal black look comprises of an embroidered lawn shirt and a printed pure tissue dupatta. A solid cotton trouser finishes the look, while embroidered organza borders for the sleeves and trousers add a graceful touch to the ensemble.","Rs 7,990.0","Rs 5,992.5",Shirt Dyed & Embroidered Lawn Shirt Front 1.15mDigital Printed Lawn Shirt Back & Sleeve 1.85mEmbroidered Organza Hem Border 1PC,Black,Lawn,Dyed Cotton Trouser 2.5m,Black,Cotton,Dupatta Digital Printed Pure Tissue Dupatta 2.5m,White and Pink,Pure Tissue,25%
7,The Shor A,Unstitched 3-Piece,"A delicate fish scale print covers this embroidered lawn shirt which comes with a printed pure tissue dupatta. A solid cotton trouser finishes the look, while embroidered organza borders for the sleeves and trousers add a graceful touch to the ensemble.","Rs 7,990.0","Rs 5,992.5",Shirt Dyed & Embroidered Lawn Shirt Front 1.15mDigital Printed Lawn Shirt Back & Sleeve 1.85mEmbroidered Organza Neck Patti 1PCEmbroidered Organza Sleeve Border 1PC,Black/White & Pink,Lawn,Dyed Cotton Trouser 2.5m,Black,Cotton,Dupatta Digital Printed Pure Tissue Dupatta 2.5m,White & Pink,Pure Tissue,25%
8,Shikargah,Unstitched 3-Piece,Embroidered organza accents add a vibrant touch to the digitally printed crepe shirt. A beautiful printed bember tissue dupatta and slub cambric trousers finish off this cheerful look.,"Rs 5,990.0","Rs 4,492.5",Shirt Digital Printed Crepe Shirt 3mEmbroidered Organza Neckline 1PCEmbroidered Organza Sleeve Patti 1PC,Red,Crepe,Dyed Slub Cambric Trouser 2.5m,Red,Slub Cambric,Dupatta Digital Printed Bember Tissue Dupatta 2.5m,Red & Orange,Bember Tissue,25%
9,Blooming Lotus,Unstitched 3-Piece,This delicate black and white ensemble comprises of a printed crepe shirt featuring embroidered organza details. A digital printed medium silk dupatta and slub cambric trousers finish off the look.,"Rs 5,990.0","Rs 4,492.5",Shirt Digital Printed Crepe Shirt 3mEmbroidered Organza Neckline 1PC,Pink & Black,Crepe,Dyed Slub Cambric Trouser 2.5m,Black,Slub Cambric,Dupatta Digital Printed Medium Silk Dupatta 2.5m,Pink & Black,Medium Silk,25%
