,Name,Detail,Main-Description,Sub-Description,Old-Price,New-Price,Color,Fabric,Types,All Sizes
0,Gingham,,Chelsea Boot,Leather chelsea boots in classic black are an all-season must-have.,"Rs.4,490.00","Rs.2,918.50",Black,l: Leather,,"40,41,42,43,44,45"
1,Aqua,"Plain Front, Plain Back, Band Neck",Waist Coat,This collarless blue waistcoat comes in luxe silk karandi.,"Rs.4,490.00","Rs.2,918.50",Blue,Silk Karandi,Regular Fit,"S,M,L,XL"
2,Byzantium,"Plain Front with Embroidery on Arm Hole, Plain Back, Band Neckline",Waist Coat,"An aubergine waistcoat in tropic fabric, with a band collar and stylishly placed embroidery.","Rs.4,490.00","Rs.2,918.50",Deep Purple,Tropical fabric,Regular Fit,"S,M,L,XL"
3,Cosmos,"Plain Front, Plain Back, Band Neck",Waist Coat,A classic raven-black tropical fabric piece with a minimalistic feel.,"Rs.4,490.00","Rs.2,918.50",Black,Tropical,Regular Fit,"S,M,L,XL"
4,Sahara,"Plain Front, Plain Back, Full Sleeves, Band Neckline, Plain Shalwar",2-Piece Kurta Shalwar,A classy two piece suit in sandy beige feature a kurta with a band collar and a matching bottom.,"Rs.5,990.00","Rs.3,893.50",Beige,Toyobo,Regular Fit,"XS,S,M,L,XL"
5,Depths,"Plain Front, Plain Back, Full Sleeves, Collared Neck, Plain Shalwar",2-Piece Kurta Shalwar,This spun polyester collared kurta set comes in a rich navy blue.,"Rs.5,990.00","Rs.3,893.50",Navy Blue,Toyobo,Regular Fit,"XS,S,M,L,XL"
6,Everest,"Plain Front, Plain Back, Full Sleeves, Collared Neck, Plain Shalwar",2-Piece Kurta Shalwar,A pure white kurta suit with a classic collar and matching bottom.,"Rs.5,990.00","Rs.3,893.50",White,Toyobo,Regular Fit,"XS,S,M,L,XL"
7,Enrich,"Plain Front, Plain Back, Full Sleeves, Band Neckline, Plain Shalwar",2-Piece Kurta Shalwar,A grey two piece set featuring a kurta with a band collar.,"Rs.5,990.00","Rs.3,893.50",Grey,Toyobo,Regular Fit,"XS,S,M,L,XL"
8,Ingenue,"Plain Front, Plain Back, Full Sleeves, Band Neckline, Plain Shalwar",2-Piece Kurta Shalwar,Make a statement with this mauve band-collared kurta set.,"Rs.5,990.00","Rs.3,893.50",Mauve,Toyobo,Regular Fit,"XS,S,M,L,XL"
9,Tourmaline,"Plain Front with Embroidered Neckline & Cuffs, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,An ebony jacquard kurta with embroidery worked into the neckline and cuffs.,"Rs.2,490.00","Rs.1,618.50",Black,100% Cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
