,Name,Detail,Main-Description,Sub-Description,Old-Price,New-Price,Color,Fabric,All Sizes,Extra Detail
0,Reeve,,Jacket,This minimalist kimono style jacket comes in the perfect icy grey hue.,"Rs.7,990.00","Rs.5,193.50",Heather Grey,Melange,"XS,S,M,L,XL",
1,Slate,,Jacket,Elegance and minimalism come together in this slate blue kimono-style short jacket.,"Rs.7,990.00","Rs.5,193.50",Navy,Melange,"XS,S,M,L,XL",
2,Suki,,Jacket,A kimono style short jacket in a statement burgundy hue.,"Rs.7,990.00","Rs.5,193.50",Maroon,Melange,"XS,S,M,L,XL",
3,Cerulean,,Jacket,A round collared jacket with utilitarian pocket details in an opulent royal blue hue.,"Rs.7,990.00","Rs.5,193.50",Navy,Melange,"XS,S,M,L,XL",
4,BluJay,,Jacket,A classic blazer is an essential building block for any wardrobe.,"Rs.7,990.00","Rs.5,193.50",Navy,Melange,"XS,S,M,L,XL",
5,Tabitha,,Jacket,A shawl collar adds a feminine touch to this mid--length wintry heather grey coat.,"Rs.7,990.00","Rs.5,193.50",Heather Grey,Melange,"XS,S,M,L,XL",
6,Wild West,,Boot Cut Pants,This pair of jeans comes in a boot cut and a flattering dark blue wash.,"Rs.2,290.00","Rs.1,488.50",Navy,Denim,"26,28,30,32,34",
7,Stronger,,T-Shirt,A white cotton tee printed with 'Stay Original.',"Rs.1,290.00",Rs.838.50,White,100%cotton,"XS,S,M,L,XL",
8,Twilight,,T-Shirt,A soft navy-blue tee in 100% cotton.,"Rs.1,490.00",Rs.968.50,Navy,100%cotton,"XS,S,M,L,XL",
9,Air,,Sweat Shirt,An athletic dove grey sweatshirt with short sleeves.,"Rs.1,290.00",Rs.838.50,Grey,100% Cotton,"XS,S,M,L,XL",
10,Tundra,,Jogger pants,These cozy jogger pants come in a classic heather grey.,"Rs.2,490.00","Rs.1,618.50",Grey,65% Polyester & 35% Cotton,"XS,S,M,L,XL",
11,Torque,,Jogger pants,Plush sweatpants in a grey hue take you from the gym to the street.,"Rs.2,490.00","Rs.1,618.50",Grey,65% Polyester & 35% Cotton,"XS,S,M,L,XL",
12,Harness,,Hooded Shirt,This deep indigo hooded sweatshirt comes with contrasting panels on the sleeves.,"Rs.2,490.00","Rs.1,618.50",Navy,100% polyester,"XS,S,M,L,XL",
13,Girl Power,,T-Shirt,Flaunt your femininity with our black tee.,"Rs.1,490.00",Rs.968.50,Black,100% Cotton,"XS,S,M,L,XL",
14,Brienne,,Culottes,,"Rs.2,990.00","Rs.1,943.50",Merlot,"97% Polyester, 3% Elastane","XS,S,M,L,XL",
15,Best Dressed,,Dress Pants,,"Rs.3,490.00","Rs.2,268.50",Grey,"30% Nylon, 65% Rayon, 5% Elastane","XS,S,M,L,XL",
16,Carmelle,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Brown,100% Poly Cordoury,"XS,S,M,L,XL",
17,Eloquent,,Blazer,,"Rs.4,490.00","Rs.2,918.50",Navy,"97%Polyester, 3%Elastane","XS,S,M,L,XL",
18,Liberty,,Culottes,,"Rs.2,990.00","Rs.1,943.50",Navy,"97% Polyester, 3% Elastane","XS,S,M,L,XL",
19,Glaston,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Olive,100% Poly Cordoury,"XS,S,M,L,XL",
20,Urban Safari,,Dress Pants,,"Rs.3,490.00","Rs.2,268.50",Beige,"30% Nylon, 65% Rayon, 5% Elastane","XS,S,M,L,XL",
21,Cabelle,,Culottes,,"Rs.3,990.00","Rs.2,593.50",Blue,100% Polyester,"XS,S,M,L,XL",
22,Chine,,Culottes,,"Rs.3,490.00","Rs.2,268.50",Blue & White,100% Polyester Satin,"XS,S,M,L,XL",
23,West End,,Blazer,,"Rs.3,990.00","Rs.2,593.50",White,100% Polyester,"XS,S,M,L,XL",
24,Monaco,,Western Top,,"Rs.2,990.00","Rs.1,943.50",Navy,100% Polyester,"XS,S,M,L,XL",
25,Jade Palace,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Mud Green,100% Tencel,"XS,S,M,L,XL",
26,Olivia,,Western Top,,"Rs.2,790.00","Rs.1,813.50",White,100% Polyester Satin,"XS,S,M,L,XL",
27,Dian,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Black,100% Tencel,"XS,S,M,L,XL",
28,Marina,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Navy,100% Tencel,"XS,S,M,L,XL",
29,Grenada,,Western Top,,"Rs.2,790.00","Rs.1,813.50",Olive,100% Cotton,"XS,S,M,L,XL",
30,Tuscan Fall,,Western Top,,"Rs.2,990.00","Rs.1,943.50",Brown,"85% Polyester, 15% Elastane","XS,S,M,L,XL",
31,Maxine,,Western Top,,"Rs.2,490.00","Rs.1,618.50",White,100% Polyester,"XS,S,M,L,XL",
32,Pablo,,T-Shirt,An artsy abstract printed white cotton tee.,"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
33,Frida,,T-Shirt,A white cotton tee with a graphic abstract floral print.,"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
34,Electra,,T-Shirt,A classic white tee with eclectic spring blooms printed on it.,"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
35,Dare,,T-Shirt,A versatile black cotton tee with a minimalist graphic bird print.,"Rs.1,490.00",Rs.968.50,Black,100%cotton,"XS,S,M,L,XL",
36,Self Love,,T-Shirt,An inspirational white cotton tee printed with a bar code and 'believe in yourself.',"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
37,Gen Z,,T-Shirt,A cute white cotton tee-shirt printed with 'What are we gonna do with all this future?',"Rs.1,290.00",Rs.838.50,White,100%cotton,"XS,S,M,L,XL",
38,Botanique,,T-Shirt,A tropical graphic print white cotton tee.,"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
39,Prepster,,Formal Shirt,A stylish blue cotton button down with white stripes.,"Rs.2,990.00","Rs.1,943.50",Indigo Blue,100%cotton,"XS,S,M,L,XL",
40,Glasgow,,Casual Shirt,A demure blue button down shirt with a checkered print.,"Rs.3,490.00","Rs.2,268.50",Blue,100%cotton,"XS,S,M,L,XL",
41,Oxford,,Casual Shirt,A forest green laid-back button down in with a plaid print.,"Rs.3,490.00","Rs.2,268.50",Green,100%cotton,"XS,S,M,L,XL",
42,Darcy,,Formal Shirt,A romantic high-collared floral confection with full sleeves.,"Rs.3,490.00","Rs.2,268.50",Cream,100%Polyester,"XS,S,M,L,XL",
43,April,,Western Top,A monochromatic piece with bold white piping on a black base.,"Rs.2,990.00","Rs.1,943.50",Black & White,100%polyester,"XS,S,M,L,XL",
44,Belle,,Western Top,A monochromatic piece with bold black-on-white piping.,"Rs.2,990.00","Rs.1,943.50",Black & White,100%polyester,"XS,S,M,L,XL",
45,Provence,,Western Top,A classic blouse with a bow neck and striped multi-tonal pattern to take you from the office to a party.,"Rs.3,490.00","Rs.2,268.50",Multi Colored,100%Polyester,"XS,S,M,L,XL",
46,Perla,,Western Top,A ladylike blouse with delicate ruffle detailing in a fine ivory hue.,"Rs.2,490.00","Rs.1,618.50",White,100%Polyester,"XS,S,M,L,XL",
47,London,,Western Top,A red plaid peplum top with contrasting black detailing on the sleeves and collar.,"Rs.3,490.00","Rs.2,268.50",Red Checks,100%Polyester,"XS,S,M,L,XL",
48,Reeve,,Jacket,This minimalist kimono style jacket comes in the perfect icy grey hue.,"Rs.7,990.00","Rs.5,193.50",Heather Grey,Melange,"XS,S,M,L,XL",
49,Slate,,Jacket,Elegance and minimalism come together in this slate blue kimono-style short jacket.,"Rs.7,990.00","Rs.5,193.50",Navy,Melange,"XS,S,M,L,XL",
50,Suki,,Jacket,A kimono style short jacket in a statement burgundy hue.,"Rs.7,990.00","Rs.5,193.50",Maroon,Melange,"XS,S,M,L,XL",
51,Cerulean,,Jacket,A round collared jacket with utilitarian pocket details in an opulent royal blue hue.,"Rs.7,990.00","Rs.5,193.50",Navy,Melange,"XS,S,M,L,XL",
52,BluJay,,Jacket,A classic blazer is an essential building block for any wardrobe.,"Rs.7,990.00","Rs.5,193.50",Navy,Melange,"XS,S,M,L,XL",
53,Tabitha,,Jacket,A shawl collar adds a feminine touch to this mid--length wintry heather grey coat.,"Rs.7,990.00","Rs.5,193.50",Heather Grey,Melange,"XS,S,M,L,XL",
54,Wild West,,Boot Cut Pants,This pair of jeans comes in a boot cut and a flattering dark blue wash.,"Rs.2,290.00","Rs.1,488.50",Navy,Denim,"26,28,30,32,34",
55,Stronger,,T-Shirt,A white cotton tee printed with 'Stay Original.',"Rs.1,290.00",Rs.838.50,White,100%cotton,"XS,S,M,L,XL",
56,Twilight,,T-Shirt,A soft navy-blue tee in 100% cotton.,"Rs.1,490.00",Rs.968.50,Navy,100%cotton,"XS,S,M,L,XL",
57,Air,,Sweat Shirt,An athletic dove grey sweatshirt with short sleeves.,"Rs.1,290.00",Rs.838.50,Grey,100% Cotton,"XS,S,M,L,XL",
58,Tundra,,Jogger pants,These cozy jogger pants come in a classic heather grey.,"Rs.2,490.00","Rs.1,618.50",Grey,65% Polyester & 35% Cotton,"XS,S,M,L,XL",
59,Torque,,Jogger pants,Plush sweatpants in a grey hue take you from the gym to the street.,"Rs.2,490.00","Rs.1,618.50",Grey,65% Polyester & 35% Cotton,"XS,S,M,L,XL",
60,Harness,,Hooded Shirt,This deep indigo hooded sweatshirt comes with contrasting panels on the sleeves.,"Rs.2,490.00","Rs.1,618.50",Navy,100% polyester,"XS,S,M,L,XL",
61,Girl Power,,T-Shirt,Flaunt your femininity with our black tee.,"Rs.1,490.00",Rs.968.50,Black,100% Cotton,"XS,S,M,L,XL",
62,Brienne,,Culottes,,"Rs.2,990.00","Rs.1,943.50",Merlot,"97% Polyester, 3% Elastane","XS,S,M,L,XL",
63,Best Dressed,,Dress Pants,,"Rs.3,490.00","Rs.2,268.50",Grey,"30% Nylon, 65% Rayon, 5% Elastane","XS,S,M,L,XL",
64,Carmelle,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Brown,100% Poly Cordoury,"XS,S,M,L,XL",
65,Eloquent,,Blazer,,"Rs.4,490.00","Rs.2,918.50",Navy,"97%Polyester, 3%Elastane","XS,S,M,L,XL",
66,Liberty,,Culottes,,"Rs.2,990.00","Rs.1,943.50",Navy,"97% Polyester, 3% Elastane","XS,S,M,L,XL",
67,Glaston,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Olive,100% Poly Cordoury,"XS,S,M,L,XL",
68,Urban Safari,,Dress Pants,,"Rs.3,490.00","Rs.2,268.50",Beige,"30% Nylon, 65% Rayon, 5% Elastane","XS,S,M,L,XL",
69,Cabelle,,Culottes,,"Rs.3,990.00","Rs.2,593.50",Blue,100% Polyester,"XS,S,M,L,XL",
70,Chine,,Culottes,,"Rs.3,490.00","Rs.2,268.50",Blue & White,100% Polyester Satin,"XS,S,M,L,XL",
71,West End,,Blazer,,"Rs.3,990.00","Rs.2,593.50",White,100% Polyester,"XS,S,M,L,XL",
72,Monaco,,Western Top,,"Rs.2,990.00","Rs.1,943.50",Navy,100% Polyester,"XS,S,M,L,XL",
73,Jade Palace,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Mud Green,100% Tencel,"XS,S,M,L,XL",
74,Olivia,,Western Top,,"Rs.2,790.00","Rs.1,813.50",White,100% Polyester Satin,"XS,S,M,L,XL",
75,Dian,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Black,100% Tencel,"XS,S,M,L,XL",
76,Marina,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Navy,100% Tencel,"XS,S,M,L,XL",
77,Grenada,,Western Top,,"Rs.2,790.00","Rs.1,813.50",Olive,100% Cotton,"XS,S,M,L,XL",
78,Tuscan Fall,,Western Top,,"Rs.2,990.00","Rs.1,943.50",Brown,"85% Polyester, 15% Elastane","XS,S,M,L,XL",
79,Maxine,,Western Top,,"Rs.2,490.00","Rs.1,618.50",White,100% Polyester,"XS,S,M,L,XL",
80,Pablo,,T-Shirt,An artsy abstract printed white cotton tee.,"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
81,Frida,,T-Shirt,A white cotton tee with a graphic abstract floral print.,"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
82,Electra,,T-Shirt,A classic white tee with eclectic spring blooms printed on it.,"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
83,Dare,,T-Shirt,A versatile black cotton tee with a minimalist graphic bird print.,"Rs.1,490.00",Rs.968.50,Black,100%cotton,"XS,S,M,L,XL",
84,Self Love,,T-Shirt,An inspirational white cotton tee printed with a bar code and 'believe in yourself.',"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
85,Gen Z,,T-Shirt,A cute white cotton tee-shirt printed with 'What are we gonna do with all this future?',"Rs.1,290.00",Rs.838.50,White,100%cotton,"XS,S,M,L,XL",
86,Botanique,,T-Shirt,A tropical graphic print white cotton tee.,"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
87,Prepster,,Formal Shirt,A stylish blue cotton button down with white stripes.,"Rs.2,990.00","Rs.1,943.50",Indigo Blue,100%cotton,"XS,S,M,L,XL",
88,Glasgow,,Casual Shirt,A demure blue button down shirt with a checkered print.,"Rs.3,490.00","Rs.2,268.50",Blue,100%cotton,"XS,S,M,L,XL",
89,Oxford,,Casual Shirt,A forest green laid-back button down in with a plaid print.,"Rs.3,490.00","Rs.2,268.50",Green,100%cotton,"XS,S,M,L,XL",
90,Darcy,,Formal Shirt,A romantic high-collared floral confection with full sleeves.,"Rs.3,490.00","Rs.2,268.50",Cream,100%Polyester,"XS,S,M,L,XL",
91,April,,Western Top,A monochromatic piece with bold white piping on a black base.,"Rs.2,990.00","Rs.1,943.50",Black & White,100%polyester,"XS,S,M,L,XL",
92,Belle,,Western Top,A monochromatic piece with bold black-on-white piping.,"Rs.2,990.00","Rs.1,943.50",Black & White,100%polyester,"XS,S,M,L,XL",
93,Provence,,Western Top,A classic blouse with a bow neck and striped multi-tonal pattern to take you from the office to a party.,"Rs.3,490.00","Rs.2,268.50",Multi Colored,100%Polyester,"XS,S,M,L,XL",
94,Perla,,Western Top,A ladylike blouse with delicate ruffle detailing in a fine ivory hue.,"Rs.2,490.00","Rs.1,618.50",White,100%Polyester,"XS,S,M,L,XL",
95,London,,Western Top,A red plaid peplum top with contrasting black detailing on the sleeves and collar.,"Rs.3,490.00","Rs.2,268.50",Red Checks,100%Polyester,"XS,S,M,L,XL",
96,Julia,,Jeggings,High waisted jeggings in a merlot hue with a flattering fit and zipper details.,"Rs.2,990.00","Rs.1,943.50",Merlot,"34%Nylon, 61%Viscose, 5%Elastane","XS,S,M,L,XL",
97,Urbana,,Jeggings,High waisted navy blue jeggings with a flattering fit and button details.,"Rs.2,990.00","Rs.1,943.50",Navy,"34%Nylon, 61%Viscose, 5%Elastane","XS,S,M,L,XL",
98,Marina,,Dress Pants,"Straight fit, cuffed trousers in an ivory wash.","Rs.2,990.00","Rs.1,943.50",White,"95%Polyester, 5%Elastane","XS,S,M,L,XL",
99,Autumn,,Dress Pants,"Ankle cropped, relaxed fit trousers in a dark taupe.","Rs.2,990.00","Rs.1,943.50",Tea Pink,"95%Polyester, 5%Elastane","XS,S,M,L,XL",
100,Slate,,Dress Pants,Straight-leg smokey grey trousers in a relaxed fit.,"Rs.3,490.00","Rs.2,268.50",Grey,"30%Nylon, 65%Rayon, 5%Elastane","XS,S,M,L,XL",
101,Bijou,,Dress Pants,Mint green ankle-cropped trousers with a straight leg.,"Rs.2,990.00","Rs.1,943.50",Mint Green,"30%Nylon, 65%Rayon, 5%Elastane","XS,S,M,L,XL",
102,Del Mar,,Dress Pants,"High waisted, belted pants with a straight leg and pleats in a deep brick red hue.","Rs.3,490.00","Rs.2,268.50",Maroon,100%Polyester,"XS,S,M,L,XL",
103,Influencer,,Dress Pants,"High waisted, belted pants with a straight leg and pleats in bold black.","Rs.3,490.00","Rs.2,268.50",Black,100%Polyester,"XS,S,M,L,XL",
104,Helvetica,,Culottes,Cotton trousers with a paper bag waist in oxford blue.,"Rs.2,790.00","Rs.1,813.50",Navy,100%cotton,"XS,S,M,L,XL",
105,Tokyo,,Culottes,Paper bag waist cotton trousers in a periwinkle shade.,"Rs.2,790.00","Rs.1,813.50",Fresh Blue,100%cotton,"XS,S,M,L,XL",
106,Berlin,,Palazzo,Tie-waist straight trousers with beige stripes.,"Rs.2,990.00","Rs.1,943.50",Black & Beige,100%Polyester,"XS,S,M,L,XL",
107,Amalfi,,Palazzo,High waist trousers with a fabric belt and chic blue-and-white stripes,"Rs.3,490.00","Rs.2,268.50",Blue & White,100%Polyester,"XS,S,M,L,XL",
108,Crossfire,,T-Shirt,This sporty pink sweatshirt would look great with chunky golden jewelry.,"Rs.1,490.00",Rs.968.50,Neon Pink,Cotton,"XS,S,M,L,XL","SIZE & FIT:  Model Height: 5 Feet 6 Inches, 168 cm Model Wears: XS"
109,Steel Storm,,T-Shirt,There's something so comforting about a light grey sweatshirt.,"Rs.1,490.00",Rs.968.50,Light Grey,Cotton,"XS,S,M,L,XL","SIZE & FIT:  Model Height: 5 Feet 6 Inches, 168 cm Model Wears: XS"
110,Original Flame,,T-Shirt,"This fun and fabulous pink tee is created from dry-fit fabric, ensuring that you stay cool and dry during your workout.","Rs.1,490.00",Rs.968.50,Neon Pink,Cotton,"XS,S,M,L,XL","SIZE & FIT:  Model Height: 5 Feet 6 Inches, 168 cm Model Wears: XS"
111,Swift,,T-Shirt,"This timeless black athletic t-shirt is made from dry-fit fabric, ensuring that you stay cool and dry during your workout.","Rs.1,490.00",Rs.968.50,Black,Cotton,"XS,S,M,L,XL","SIZE & FIT:  Model Height: 5 Feet 6 Inches, 168 cm Model Wears: XS"
112,Crossbow,,T-Shirt,"This classic neutral grey tee is manufactured from dry-fit fabric, ensuring that you stay cool and dry during your workout.","Rs.1,490.00",Rs.968.50,Grey,Cotton,"XS,S,M,L,XL","SIZE & FIT:  Model Height: 5 Feet 6 Inches, 168 cm Model Wears: XS"
113,Switchblade,,T-Shirt,"This black and white athletic tee is crafted from dry-fit fabric, ensuring that you stay cool and dry during your workout.","Rs.1,490.00",Rs.968.50,Black And White,Cotton,"XS,S,M,L,XL","SIZE & FIT:  Model Height: 5 Feet 6 Inches, 168 cm Model Wears: XS"
114,Rise,,T-Shirt,Add a pop of bubble gum pink to your look with this classic crew neck.,"Rs.1,490.00",Rs.968.50,Neon Pink,Cotton,"XS,S,M,L,XL","SIZE & FIT:  Model Height: 5 Feet 6 Inches, 168 cm Model Wears: XS"
115,Firefly,,T-Shirt,This black crew-neck shirt is a closet staple. Pair with classic blue jeans and tan flats for a carefree summer look.,"Rs.1,490.00",Rs.968.50,Black,Cotton,"XS,S,M,L,XL","SIZE & FIT:  Model Height: 5 Feet 6 Inches, 168 cm Model Wears: XS"
116,Day Break,,T-Shirt,This versatile grey shirt can be worn for both athletic and non-athletic endeavors.,"Rs.1,490.00",Rs.968.50,Light Grey,Cotton,"XS,S,M,L,XL","SIZE & FIT:  Model Height: 5 Feet 6 Inches, 168 cm Model Wears: XS"
117,Morning Run,,Leggings,A pair of neutral leggings is a must have for any wardrobe.,"Rs.1,990.00","Rs.1,293.50",Black,Viscose Nylon Stretch,"XS,S,M,L,XL","SIZE & FIT:  Model Height: 5 Feet 6 Inches, 168 cm Model Wears: XS"
118,Sun Salutation,,Leggings,These active-wear leggings are sturdy and versatile; perfect for gym wear and running errands too.,"Rs.1,990.00","Rs.1,293.50",Black,Viscose Nylon Stretch,"XS,S,M,L,XL","SIZE & FIT:  Model Height: 5 Feet 6 Inches, 168 cm Model Wears: XS"
119,Warrior,,Leggings,"For the serious gym-goer, these grey athletic leggings are the perfect choice.","Rs.1,990.00","Rs.1,293.50",Grey,Viscose Nylon Stretch,"XS,S,M,L,XL","SIZE & FIT:  Model Height: 5 Feet 6 Inches, 168 cm Model Wears: XS"
120,Runaway,,Leggings,The all-over print of these athletic leggings lends them a sport vibe.,"Rs.1,990.00","Rs.1,293.50",Black And White,Viscose Nylon Stretch,"XS,S,M,L,XL","SIZE & FIT:  Model Height: 5 Feet 6 Inches, 168 cm Model Wears: XS"
121,Verona,,Western Top,"This dreamy blouse is perfect for a variety of occasions, and can be dressed up or down according to your taste.","Rs.2,490.00","Rs.1,618.50",Red,Polyester Fabric,"XS,S,M,L,XL","Style Note: 
Add a pair of pearl studs to complete this classy solid look."
122,Lucky,,Button Down Shirt Bow details at the cuffs add to the effervescent vibe of this pale grey blouse,,"Rs.2,490.00","Rs.1,618.50",Grey,Polyester Cotton Blend Fabric,"XSM,SML,MDM,LRG,XLG",
123,Sundae,,"Button Down Shirt This classy white blouse is soft yet wrinkle resistant, making it perfect for a long work day",,"Rs.2,490.00","Rs.1,618.50",White,Polyester Cotton Blend Fabric,"XSM,SML,MDM,LRG,XLG",
124,Checkmate,,Plaid Shirt This lumberjack inspired check-print look is crafted from cotton fabric and makes for a lightweight summer look,,"Rs.2,290.00","Rs.1,488.50",White And Navy,Cotton Fabric,"XSM,SML,MDM,LRG,XLG",
125,Fawn,,Button Down Shirt Baby pink and white makes for a summer perfect colour combination. The self-tie details and high-low hem add a feminine touch to this piece,,"Rs.2,490.00","Rs.1,618.50",Pink,Polyester Cotton Blend Fabric,"XSM,SML,MDM,LRG,XLG",
126,Neptune,,Button Down Shirt Pinstripe details and gold hardware details are sure to make you look like a total boss babe,,"Rs.2,490.00","Rs.1,618.50",Grey,Polyester Cotton Blend Fabric,"XSM,SML,MDM,LRG,XLG",
127,Falling,,Double Layer Top This floaty and feminine piece features large ribbon fastenings at the sleeves that add to the romantic vibe of the look,,"Rs.2,490.00","Rs.1,618.50",Pink,Polyester Fabric,"XSM,SML,MDM,LRG,XLG",
128,Bluesy,,Blouse,,"Rs.2,990.00","Rs.1,943.50",Navy,Cupro Viscose Blend,"XS,S,M,L,XL",
129,Grey beam,,Leggings,,"Rs.2,990.00","Rs.1,943.50",Grey,Rayon Nylon Blend Stretch Fabric,"XS,S,M,L,XL",
130,Zipped,,Leggings,,"Rs.2,990.00","Rs.1,943.50",Navy,Rayon Nylon Blend Stretch Fabric,"XS,S,M,L,XL",
131,Snatched,,Leggings,,"Rs.2,490.00","Rs.1,618.50",Black,Rayon Nylon Blend Stretch Fabric,"XS,S,M,L,XL",
132,Mountain breeze,,Blouse,,"Rs.2,290.00","Rs.1,488.50",Yellow,Polyester Fabric,"XS,S,M,L,XL",
133,Gently,,"Casual Shirt This lumberjack inspired look is a perennial favourite, and it is not hard to see why",,"Rs.2,790.00","Rs.1,813.50",White And Grey,Rayon Fabric,"XS,S,M,L,XL",Style Note:  Pair this classy top with your favourite pair of black skinny jeans.
134,Sunflower,,Western Top This printed blouse comes in a delightful shade of breezy yellow,,"Rs.2,990.00","Rs.1,943.50",Mustard,Polyester Fabric,"XS,S,M,L,XL",Style Note:  A pair of white slacks would add to the refined and polished appeal of this top.
135,Keys,,Western Top This loose sleeves printed top is a statement piece,,"Rs.2,990.00","Rs.1,943.50",Black And White,Polyester Fabric,"XS,S,M,L,XL",Style Note:  Pair this classy top with your favourite pair of black skinny jeans.
136,Cloak,,Western Top This pristine white shirt is a breezy and classic summer piece,,"Rs.2,990.00","Rs.1,943.50",White,Polyester Stretch Fabric,"XS,S,M,L,XL",Style Note:  A dainty pair of crystal hoops will add a refined edge to this outfit.
137,G.I.,,Cargo Pants These sleek cargo pants have a military inspired vibe that is sure to add an edge to your look,,"Rs.2,990.00","Rs.1,943.50",Army Green,Cotton,"XS,S,M,L,XL","Style Note:  Pair these versatile pants with a variety of tops: a crew neck, a chambray shirt, and whatever else you can think of."
138,Crop,,Dress Pants These fitted dress pants are comfortable and sturdy enough to be worn regularly,,"Rs.2,790.00","Rs.1,813.50",Blue,Polyester,"XS,S,M,L,XL",Style Note:  A chic white button down would look excellent tucked into these pants.
