Name,Description,Material,Color,Current Price,Old Price,Discount,Piece,Availability,Category,Gender,Size,Design,Link
Pique Lowers,|        Pique Lowers    ,Pique,Black,PKR 2600 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/pique-lowers-22536
Pique Lowers,|        Pique Lowers    ,Pique,Teal,PKR 2600 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/pique-lowers
Jersey Lowers,|        Jersey Lowers    ,Jersey,Grey,PKR 2400 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/jersey-lowers-22528
Jersey Lowers,|        Jersey Lowers    ,Jersey,Black,PKR 2400 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/jersey-lowers
Half Sleeves Jersey Top,|        Half Sleeves Jersey Top    ,Jersey,Charcoal Grey,PKR 1300 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/half-sleeves-jersey-top-22533
Half Sleeves Jersey Top,|        Half Sleeves Jersey Top    ,Jersey,Black,PKR 1300 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/half-sleeves-jersey-top-22528
Half Sleeves Jersey Top,|        Half Sleeves Jersey Top    ,Jersey,White,PKR 1300 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/half-sleeves-jersey-top
Fleece Jacket,|Fleece Jacket ,Fleece,Black,PKR 4500 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/fleece-jacket
Long Sleeves Fleece Top,|        Long Sleeves Fleece Top    ,Fleece,Charcoal Grey,PKR 2000 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeves-fleece-top-22595
Long Sleeves Fleece Top,|        Long Sleeves Fleece Top    ,Fleece,Burgundy,PKR 2800 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeves-fleece-top-22590
Long Sleeves Fleece Top,|        Long Sleeves Fleece Top    ,Fleece,Black,PKR 2800 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeves-fleece-top
